Sample,BMP 20:5-22:6 Results,BMP 18:3-22:6 Results,BMP 22:5-22:6 Results,BMP 18:2-20:5 Results,BMP 20:5_20:5 Results,BMP 18:3-22:5 Results,BMP 22:6-22:6 Results,BMP 16:1-16:1 Results,BMP 18:2-18:3 Results,BMP 16:0-18:3 Results,BMP 18:2-22:6 Results,BMP 20:4-20:4 Results,PG 22:5-22:6 Results,PG 20:5-22:6 Results,BMP 18:2-22:5 Results,BMP 18:2-20:4 Results,BMP 18:1-20:5 Results,PG 18:3-22:5 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 22:5-22:5 Results,PG 20:5-20:5 Results,BMP 18:2-18:2 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,BMP 16:0-22:6 Results,BMP 16:1-20:4 Results,BMP 18:1-18:3 Results,BMP 18:1-22:6 Results,PG 16:1-16:1 Results,BMP 16:0-16:1 Results,BMP 16:0-20:4 Results,BMP 18:0-20:4 Results,PG 16:0-20:5 Results,BMP 18:1-20:4 Results,BMP 18:0-20:5 Results,BMP 18:3-18:3 Results,PG 16:0-22:6 Results,BMP 16:0-18:2 Results,BMP 18:1-18:2 Results,PG 18:2-20:5 Results,PG 16:1-20:5 Results,PG 20:4-20:5 Results,PG 18:3-18:3 Results,PG 20:4-20:4 Results,PG 16:0-18:3 Results,PG 18:1-18:2 Results,PG 16:0-18:2 Results,PG 18:3-22:6 Results,PG 18:2-22:6 Results,PG 16:1-22:6 Results,PG 18:1-18:3 Results,PG 16:1-20:4 Results,PG 22:5-22:5 Results,PG 16:0-20:4 Results,BMP 16:0-16:0 Results,PG 18:2-22:5 Results,PG 16:0-16:1 Results,PG 22:6-22:6 Results,BMP 18:0-18:3 Results,PG 18:0-18:3 Results,BMP 16:0-18:1 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:2-20:4 Results,BMP 16:0-18:0 Results,PG 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:0-18:2 Results,PG 18:1-22:6 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PC 15:0_18:1(d7) Results,BMP 18:0-18:0 Results,PG 16:0-16:0 Results,PG 18:0-20:4 Results,PG 18:1-18:1 Results,PG 18:0-18:2 Results,BMP 18:0-18:1 Results,PG 18:0-18:1 Results,PG 18:0-18:0 Results
D_siTFEB_04,0.5909,0.2171,1.3181,0.0073,0.0068,0.0126,0.3279,7.7385,0.0748,0.0046,12.6983,1.4214,19.0914,0.0032,1.178,1.6994,2.0451,0.0206,0.0168,0.0139,0.0199,0.0063,2.5688,0.2316,0.0094,14.7718,0.1035,1.3569,160.1007,2.5286,9.3969,1.2984,0.2718,0.4047,17.8698,0.1701,0.0086,0.0312,11.2807,105.0191,0.3561,0.2688,0.0752,0.0007,0.0039,0.1312,24.2461,1.9043,0.0077,0.0914,1.5629,0.117,1.7663,0.2332,111.6641,3.3379,0.2582,71.7556,0.1413,1.7574,1.8751,8.3363,35.5857,0.4403,0.1467,2.5994,0.3742,938.8213,5.729,0.4123,16.0514,714.7395,,0.6218,8.9507,14.0286,100.2456,6.0272,44.4605,138.3794,6.8553
M_siTFEB_04,0.2895,0.4209,1.4018,0.0326,0.0005,0.0281,0.6438,4.1156,0.0179,0.0035,9.9713,0.8111,18.3826,0.013,1.2105,0.9866,1.7172,0.0035,0.0123,,0.0102,0.0434,0.5985,1.5464,0.0071,10.966,0.1054,0.1898,138.8207,0.88,2.143,0.8831,0.4255,0.2284,13.8152,0.0246,0.0083,0.0563,6.1914,71.7546,0.1859,0.1519,0.0231,0.012,0.0464,0.0088,18.37,0.7691,0.0315,0.1217,1.312,0.1312,0.7077,0.1437,53.5138,1.1382,0.2845,21.847,0.2125,0.2834,1.2704,4.3318,18.057,0.1589,0.0072,0.8583,0.2316,664.152,2.7197,1.2585,12.4162,530.5853,,0.7409,4.262,10.5371,67.4203,4.1536,24.3072,90.9162,4.79
D_TFEB_OE_06,2.636,0.0375,2.054,0.2356,0.0045,0.0137,1.5827,0.6556,0.0148,0.0023,19.587,8.7285,40.595,0.0106,3.6109,5.4608,3.7737,0.0137,0.0109,0.0039,0.0162,0.0583,3.759,0.9057,0.0328,4.3102,0.4368,0.6841,111.4804,0.8014,0.145,0.3881,0.4558,0.8728,13.0951,0.0067,0.0086,0.1921,0.7059,31.2515,0.3267,0.3017,0.281,0.0131,0.2063,0.0229,6.2264,4.1675,0.0009,0.13,1.1504,0.0757,0.6922,0.0116,94.11,0.8356,0.0693,16.0274,0.2639,0.1437,0.2334,1.1731,36.4876,0.3253,0.021,0.0452,1.0341,260.0743,1.081,0.6738,14.3946,479.1745,,0.9324,14.5903,66.349,142.791,13.609,6.2148,99.1812,4.1011
M_siAlg12_05,0.7774,0.3451,1.5991,0.1058,0.0029,0.0277,1.0746,7.0741,0.0569,0.0039,15.1444,0.441,20.4019,0.0071,0.4383,0.708,2.4152,0.0048,0.0027,0.0137,0.015,0.007,1.0386,1.1423,0.0055,13.3752,0.6316,1.5095,181.5514,1.8446,7.028,0.9303,0.8144,0.4402,17.7391,0.0069,0.0102,0.3164,9.4832,113.5652,0.4268,0.2733,0.0669,0.0002,0.0416,0.0888,25.3405,0.9016,0.0046,0.1913,1.4769,0.0917,1.8192,0.0631,182.9509,3.5415,0.163,80.9774,0.0922,1.3697,1.8384,11.9031,78.8696,0.3428,0.1245,1.6302,0.6276,1011.6157,4.9064,0.0767,18.6267,705.829,,0.6983,9.8892,29.5346,157.3222,10.283,46.4873,170.7102,5.0697
D_siTFEB_05,0.6814,0.38,1.3696,0.112,0.0011,0.0092,0.7562,8.4494,0.0025,0.008,14.1895,1.7786,20.6543,0.0152,1.2496,0.4252,2.1172,0.0162,0.0123,0.0092,0.0163,0.0131,0.7691,1.2148,0.008,15.4569,0.2295,1.9636,167.1721,2.0002,11.7948,0.5411,1.1057,0.2956,18.2601,0.2446,0.0142,0.2478,14.129,128.7716,0.2687,0.4922,0.0649,0.0008,0.0508,0.0157,35.1479,1.8328,0.0113,0.2311,1.4246,0.124,1.8346,0.1107,126.4669,3.7652,0.1936,83.2792,0.1653,1.5183,1.967,10.4928,38.821,0.3647,0.1562,2.3502,0.5019,1014.5331,6.2943,0.1563,15.3474,707.1511,,0.6549,9.5028,14.357,101.3973,6.6606,37.9431,143.5957,3.6334
M_siAlg12_04,0.7474,0.2979,1.7534,0.0227,0.0034,0.0127,1.1226,8.5592,0.082,0.0083,15.1353,1.0142,18.944,0.0138,1.0411,0.4994,2.2986,0.0307,0.0051,0.0087,0.0056,0.0124,1.5321,0.3797,0.0037,13.8388,0.5152,1.1655,196.4384,2.1128,7.7922,2.4482,0.7293,0.4955,17.1427,0.0088,0.0129,0.2302,10.5974,112.9159,0.432,0.2531,0.0396,0.0174,0.035,0.1084,33.0166,1.0056,0.0077,0.353,1.1397,0.1046,1.8874,0.3716,187.4898,4.3424,0.2488,89.3964,0.4251,1.1943,2.0846,13.2688,88.7134,0.2867,0.1274,1.5504,0.3083,1133.4584,5.2582,0.3,13.4257,595.1577,,0.607,9.4253,30.0242,165.7496,10.8921,52.0206,170.4814,7.3712
D_siTFEB_06,0.6301,0.1401,1.3004,0.0684,0.0018,0.0433,0.9313,8.4792,0.0604,0.0066,13.5767,0.4056,20.1287,0.0207,1.2403,1.0581,2.1345,0.0242,0.0035,0.0515,0.0031,0.0098,1.7108,0.1715,0.0086,15.4966,0.2849,0.8786,162.0712,2.2845,4.857,1.4956,0.5176,0.3461,16.8499,0.1072,0.0004,0.1028,13.2919,117.0093,0.3475,0.2972,0.0228,0.0204,0.0195,0.0864,35.3672,2.1357,0.0139,0.2024,1.3639,0.0418,2.2386,0.1394,129.6577,4.1701,0.1379,91.3333,0.1393,1.8765,1.9338,10.0354,39.5756,0.3709,0.0728,2.7545,0.4843,1016.4192,5.9184,0.2498,19.3562,743.0447,,0.5401,9.9011,15.0598,110.9847,6.8227,48.2871,148.1519,7.7054
D_siAlg12_05,0.5839,0.3848,1.436,0.0769,0.0006,0.0177,0.6861,13.7043,0.1682,0.0574,14.0404,0.9449,17.7622,0.0081,0.8229,0.9094,2.2964,0.0338,0.0167,0.1722,0.0137,0.0168,3.1713,1.4541,0.0206,17.3185,0.7019,1.7111,185.4127,3.3382,8.8419,0.728,0.7065,0.8736,17.2148,0.0225,0.0203,0.1828,12.7367,119.692,0.6803,0.181,0.0199,0.0091,0.0356,0.3311,44.3743,2.3607,0.0118,0.3136,0.5737,0.1565,2.2832,0.206,297.7074,8.5073,0.1625,238.5506,0.0669,1.6321,3.3676,20.6274,114.0811,0.6159,0.2156,1.7914,1.1608,1297.5559,8.2863,0.1223,20.6079,1009.8496,,0.5048,17.5016,35.8116,242.8761,15.233,74.7106,253.2673,10.2536
M_siAlg12_06,0.644,0.1129,1.4691,0.0434,0.0003,0.0122,0.8772,7.3803,0.0297,0.0038,14.7005,1.3014,18.614,0.0049,1.2491,0.7078,2.2966,0.0235,0.0063,,0.0279,0.0195,0.9712,0.1167,0.0085,12.9801,0.1178,0.1114,179.2164,1.5502,8.7381,1.5524,0.7514,0.6015,15.8628,0.0307,0.0001,0.3141,9.2071,111.2494,0.4434,2.6341,0.0601,0.017,0.0892,0.0236,29.9719,0.8981,0.0345,0.2011,1.1919,0.1672,1.5537,0.1347,176.1524,3.5524,0.303,76.7486,0.1727,1.3235,0.9046,7.0747,77.4424,0.3562,0.0705,2.0354,0.8295,1020.2395,5.3445,0.093,12.3154,646.1712,,0.6672,9.1869,28.6357,155.2229,9.8517,46.4717,164.9748,9.5176
M_TFEB_06,0.4917,0.0869,1.1433,0.0817,0.0015,0.041,0.4087,1.0043,0.0389,0.0128,9.2408,1.0469,16.3035,0.014,0.641,0.5416,1.3495,0.0115,0.0118,0.0077,0.01,0.0084,1.1533,0.3163,0.0078,9.2382,0.0656,0.2868,110.0009,0.8026,1.4936,1.0067,0.3016,0.1713,7.5497,0.0072,0.0007,0.0168,4.5593,50.193,0.2582,0.2672,0.1576,0.0007,0.0266,0.0047,12.208,0.5432,0.0085,0.1623,0.5844,0.0151,0.7832,0.1712,35.6663,0.7074,0.1546,14.451,0.0677,0.3879,0.6795,3.2772,11.1947,0.0535,0.0569,0.4458,0.0613,507.4179,2.6412,0.0704,10.9058,457.2813,,0.5986,4.1095,8.622,56.5802,3.6327,9.8141,79.6647,2.8517
D_siAlg12_06,0.4293,0.3602,1.7643,0.178,0.0016,0.0884,0.4494,17.6532,0.0809,0.0101,18.0908,1.2376,19.9767,0.0078,1.4816,2.2235,3.0554,0.008,0.0308,0.0162,0.0095,0.0419,2.5757,1.0828,0.0277,22.3591,0.8638,2.4215,231.7126,4.6461,10.0323,4.1219,0.6522,0.8028,22.7677,0.008,0.0103,0.1033,15.483,130.4987,0.4577,0.2564,0.0681,0.0103,0.0481,0.327,59.7401,3.5882,0.0059,0.0918,1.5048,0.2338,2.6402,0.1737,374.2824,11.122,0.2995,323.4951,0.0434,3.37,3.916,24.9062,150.6492,0.5293,0.0544,2.9589,1.0148,936.1508,9.0919,0.214,32.2443,1090.9292,,0.486,16.9284,43.5877,304.8429,18.0871,78.1047,261.0457,10.683
D_Alg12_OE_04,2.6802,0.7436,19.5182,0.3286,0.0031,0.1863,2.2491,2.0441,0.0671,0.0027,25.701,8.6455,47.6576,0.008,3.0871,6.2113,4.8976,0.0282,0.0431,0.0047,0.0094,0.015,0.3748,0.0246,0.0072,7.6908,0.1159,0.9974,181.9548,1.0244,2.509,2.4914,1.1257,0.3472,63.3913,0.0414,0.0209,0.0586,3.5334,63.486,0.3973,0.2833,0.1045,0.0059,0.0546,0.0149,27.7383,0.4561,0.027,0.366,1.8098,0.1362,1.267,0.416,210.1884,1.5005,0.2994,48.0712,0.6891,0.6571,0.838,4.4396,85.0167,0.3846,0.1026,0.0331,1.3672,572.0888,2.6802,0.6743,21.0134,712.0448,,0.9891,17.9606,73.2355,200.3687,15.5556,13.9734,151.3575,5.6929
D_scramble_04,0.661,0.4742,1.6648,0.0538,0.0016,0.2802,0.6399,13.7215,0.0325,0.004,17.3082,0.8742,20.3275,0.0088,1.0014,0.533,2.9231,0.0209,0.006,0.0227,0.0066,0.0077,4.3653,0.0341,0.0049,20.9605,0.3257,1.3825,260.1092,3.2567,19.0318,1.6324,0.691,0.7711,23.2737,0.1612,0.0242,0.0421,16.7552,177.9703,0.3511,4.8237,0.0731,0.0083,0.0405,0.0796,54.8334,2.9147,0.0018,0.1316,0.7957,0.1181,2.2904,0.1749,264.7976,11.076,0.2222,269.7582,0.107,3.4823,4.9243,28.0361,111.4943,0.762,0.1123,3.1434,1.0818,1990.2057,10.4156,0.2235,24.5082,990.4055,,0.5557,15.9062,28.1833,247.189,15.0758,83.0739,241.4807,9.6433
M_siTFEB_05,0.5723,0.109,1.4964,0.0223,0.0026,0.2301,0.7556,4.0572,0.0146,0.002,11.7974,0.6302,20.8878,0.0116,0.3076,1.0422,1.1011,0.0057,0.0089,0.0105,0.0335,0.0151,2.083,0.4689,0.0045,10.4583,0.2558,0.2953,143.3773,0.9659,2.7,0.9646,0.6214,0.2117,11.3498,0.0171,0.0034,0.0354,5.8303,72.8074,0.1302,0.3733,0.1073,0.0197,0.0323,0.0042,20.908,0.7008,0.0082,0.1114,1.5181,0.0371,1.1149,0.2145,57.5304,1.4756,0.0217,22.183,0.2814,0.5025,0.9092,4.7384,18.0167,0.0899,0.138,0.787,0.0471,673.5886,3.4498,0.2515,14.8692,548.4179,,0.5464,4.8337,10.4996,65.9598,4.4813,24.5494,96.2751,5.0273
M_Alg12_OE_04,2.4742,0.4344,3.2061,0.1532,0.0022,0.1041,1.4344,1.035,0.1027,0.003,23.9496,6.6727,45.2934,0.0297,1.689,4.2729,1.5422,0.0009,0.0073,0.0184,0.068,0.0143,0.2737,0.0856,0.0078,6.2971,0.2644,0.3638,171.47,1.0129,0.162,0.8788,0.6511,0.4266,21.3632,0.0378,0,0.0547,2.6977,56.7098,0.2092,0.4469,0.302,0.0094,0.0195,0.0395,15.5897,0.139,0.0106,0.2163,1.2989,0.0121,1.061,0.3356,137.0899,1.3527,0.1352,26.6031,0.5273,0.1804,0.5547,3.5568,58.1704,0.1928,0.0658,0.0774,0.756,450.213,2.0877,0.4168,18.724,576.5387,,1.0169,13.3598,51.9083,127.3735,11.104,10.8634,123.3318,5.1441
