ID,Cell_line,ug_mL_protein,ug_protein,BMP 20:5_22:6,BMP 16:1_20:5,BMP 20:4_20:5,BMP 18:3_22:6,BMP 20:5_22:5,BMP 18:2_20:5,BMP 16:1_22:6,BMP 22:5_22:6,BMP 16:1_20:4,BMP 18:2_22:6,BMP 20:4_20:4,PG 22:5_22:6,BMP 18:2_20:4,BMP 18:2_22:5,BMP 18:1_20:5,BMP 18:2_18:2,BMP 16:0_22:6,BMP 16:1_16:1,BMP 18:1_22:6,BMP 18:1_18:3,PG 16:0_20:5,BMP 16:0_20:4,BMP 16:0_16:1,BMP 18:1_20:4,BMP 16:0_18:2,BMP 18:1_18:2,PG 16:1_16:1,PG 18:2_20:4,PG 18:1_18:3,PG 18:1_22:6,PG 16:0_20:4,PG 16:0_16:1,PG 18:1_20:4,BMP 16:0_16:0,PG 18:1_18:2,BMP 16:0_18:1,PG 18:0_20:5,BMP 18:0_18:1,BMP 18:1_18:1,BMP 18:0_18:2,PG 16:0_18:1,PG 16:0_16:0,PG 18:1_18:1,PG 18:0_18:2,PG 16:0_18:0,BMP 18:0_18:0,PG 18:0_18:1,total_BMP,total_PG
11,scramble_1,1105.22,110.522,11.797180651815927,4.671775755053292,1.307631059879481,5.199489694359494,4.817954796330143,1.7955701127377353,237.7355096722824,231.8484464631476,12.252691771773945,92.21275402182371,4.308734912506107,37.11022239916035,6.632905665840285,21.7975244747652,40.88554314978013,17.006804075206745,186.09250646930022,18.013716726081686,2737.770416749606,22.03554043538843,9.899133204248926,13.131539422015527,114.8333906371582,156.34139809268743,70.94345017281627,748.9936664193553,5.245851504677802,1.1373844121532364,1.2635493385932213,8.752248421128824,993.8649680606576,1066.3719259513944,643.6954814426088,155.60809612565822,306.21013010984234,737.712039232008,11.663035413763774,360.9084526157688,7280.535947594145,31.741752773203523,1798.041095890411,39.39461826604658,787.8040752067461,54.10600604404552,13.275185031034544,25.025497186080596,730.0701941694866,13353.957926928575,6507.905104865999
12,scramble_1,1356.34,135.634,7.797676098913254,3.493342377280033,0.7259389238686466,3.4242888951147945,2.326864945367681,1.403777813822493,205.6617072415471,135.33997375289383,13.62159930400932,75.68210035831724,3.0496040815724674,25.269445714201456,5.849521506406948,21.50938555229515,37.6059690048218,17.392600675346895,156.19443502366664,16.293731660203196,2354.743663093325,22.581624076558978,6.837533361841427,12.234852618075116,133.91741008891574,129.93470663697894,73.05879056873646,903.8297771945088,3.873291357624195,0.7479245616880724,3.7541766813630804,6.861273721928131,769.4368373711607,925.0442661869444,468.4268251323415,54.51209873630506,347.08633528466316,631.914814869428,13.76022236312429,444.5956323635667,9046.45465001401,20.82710824719466,1299.7878113157467,36.258858398336706,750.6226020024478,52.065293363021084,19.87501658876093,25.08468378135276,600.4727723137266,14561.062329504402,5330.18048571892
13,siTFEB_siM6PR,1165.67,116.567,8.888673466761606,3.1447665291205915,0.9261111635368502,2.9528425712251325,3.6399495569071867,1.9159968087022914,141.0979779869088,160.38633575540248,9.03627956454228,62.08956222601594,3.329604433501763,27.423387408100066,4.947746789400088,13.933102850721045,23.931404256779363,11.573326927861231,105.52658985819315,10.47306699151561,1562.4826065696125,14.962622354525724,5.098235349627254,10.648296687741814,78.93287122427445,150.45637272984635,49.03176713821236,402.962965504817,3.886520198684019,1.2011461219727713,0.5470673518234149,5.922499506721456,542.8515102902194,544.7827601293677,324.79358652105657,111.04290236516339,173.7256513421466,471.6100096939957,6.239810581039231,219.08444070791907,4458.448428800604,19.91313150377037,1334.065953485978,25.35966439901516,439.14795782682927,26.558648674153062,7.131332195218201,14.513438623281031,459.5405389175324,8131.883191640859,3928.2762702994846
14,siTFEB_siM6PR,1549.33,154.933,10.456649003117477,3.4885918429256524,1.0561468505741192,4.019647202339076,3.6272065989814957,1.6706963655257434,200.95823355902232,202.62079737693068,12.86352165129443,78.08989692318616,5.1544990415211736,40.537677576758995,6.233326663783701,22.665500571214654,35.124563521005854,13.25560080809124,145.54838543112186,10.427281470054798,1975.4260874055237,17.40934468447652,6.0478142164677635,13.218100727411205,112.572079544061,150.035202313258,61.28109569943137,660.5407885989428,2.539162089419298,0.40924786843345196,2.245125312231739,7.947758063162787,297.3948868220457,245.4229376569227,122.40098623275867,14.35159714199041,387.7962861365881,549.037596896723,7.3822749188358845,282.50907166323503,5741.081809556389,12.867316840182532,1442.8909657723018,20.45299581109254,462.4962661279392,22.58435581832147,5.584710810479368,9.295773011559836,311.731935739965,10356.886408963876,3385.8653869737245
15,siTFEB_siM6PR,1070.34,107.034,11.00495169759142,3.016761029205673,0.9889754657398583,3.457555543098455,3.56297998766747,2.1827830409028905,204.92340751536895,199.99030214698135,11.85815722106994,82.30143692658407,2.529140273184222,34.566137862735204,6.155427247416709,21.02498271577256,37.526001083767774,14.65831418054076,164.50555898125828,9.66569501279967,2217.69383560364,17.392155763589138,5.74484743165723,14.562568903339125,119.82181362931406,206.78337724461386,84.52437543210569,895.5679690565615,2.6802137638507393,0.9358708447782947,2.124184838462545,8.159276491582114,524.5342227703347,455.88839060485446,252.07612534334882,28.288151428518038,379.0568604368705,690.107498551862,9.479567240316161,364.28553543733767,7410.502644019657,20.388250462469866,1476.5962217613094,32.664443074163344,514.5924098884466,35.86497748379019,16.536334248930245,21.33667806491395,616.3177121288562,12870.607283666872,4367.817796214287
16,siTFEB_siM6PR,1330.76,133.076,9.059770356788604,3.5241966996302865,0.896329916739307,3.2639243740419013,2.6796266794914185,1.5631067961165048,186.69100363701946,175.99595719739096,10.605939463163907,68.38387087078061,1.7670954943040067,31.14956866752833,4.934969491117858,15.220670894827018,31.216477802158163,13.809582494213833,160.14080675704108,10.25855901890649,2046.2594457302596,14.56830683218612,4.336679791998558,6.977276142955906,110.85738976224114,153.0592743995912,75.47602873545945,819.5929243439839,4.003186149268088,0.8642429889687097,1.3964651777931407,8.300940815774444,460.74955664432355,413.41165950284056,211.8608314046109,24.280125642490006,291.2090685022092,630.6371096215696,8.041510114521026,337.7547867384052,6750.58273467793,17.873049986473898,1204.36158285491,28.069013195467257,408.18170068231683,31.404791247106917,16.91591271153326,17.77331750278037,537.6350957347682,11705.703658060058,3661.891806185939
17,siTFEB_siM6PR,926.18,92.618,13.286380617158652,4.436049148113758,1.202012567751409,4.336133365004643,4.5604526118033215,2.080848215249736,264.42447472413573,262.2863374290095,15.195663909823143,100.36457276123433,4.829514781144054,48.407005117795684,7.524973547258632,24.96141138871494,44.96391630136691,18.678053941998318,212.11244034636897,14.231272538815348,2866.1667710380275,24.439612170420435,7.482951478114407,18.770714116046555,154.68353883694314,233.7457945539744,104.4961886458356,1086.1370144032478,5.441555637133171,1.4372152281413981,3.308708890280507,10.956120840441384,741.9405947008141,657.1069554514241,367.42041503811356,32.89118745816148,537.439590576346,865.2318339847546,13.764797339610011,463.3781122459998,9341.838066034681,23.387397698071652,1910.386901034356,39.03275821114686,658.6880735926062,45.11341207972532,16.153706622902675,23.628797857867806,701.515666501112,16238.269537238983,5765.5964283400635
18,siTFEB_siM6PR,1321.46,132.146,7.275664794999471,2.455556732704736,0.7678779531730057,2.9407776247483843,2.5067274075643606,1.2359360101705692,126.76459370696051,130.65038669350568,6.563724970865558,56.48140692870008,1.8988240279690647,22.70081576438182,4.573895539781757,12.395274923191016,21.753151816929762,10.179362220574214,101.45460324186887,9.071829642970656,1458.882614683759,11.250450259561397,3.777306918105732,5.867146943532155,73.28265706112936,128.44750503231276,46.671575378747754,438.45725182752415,3.9434262104036444,1.0097467952113572,0.8927852526750716,5.500688632270368,485.3875410530777,536.8681004343681,280.97584489882405,85.32429282763005,214.8562347706325,463.52865769678994,5.147367305858672,218.88653459052867,4337.318571882614,17.493060705583222,1177.0765970971504,21.638626973196317,380.3029981989618,23.842568068651342,6.980718296429708,13.625913762051065,411.37673482360424,7798.005826888441,3582.2781014938028
19,scramble_2,912.23,91.223,9.30043958212293,4.1915744932747225,0.8977998969558115,4.517544917400217,3.288249673876106,1.5132148690571456,213.55405983140216,153.28114620216394,12.481106738432194,82.37321728072965,3.318790217379389,26.823651929886104,7.015116801683785,19.222739879197132,35.44299135086546,15.892439406728565,157.12465058154194,17.856395865077886,2465.8691119564146,25.504883636802123,11.230325685408285,9.794306260482553,105.75023842671256,142.66746324939982,66.15296580906131,761.8406103723842,4.181291998728391,1.2738015632022626,1.5172050908213937,7.353518301305592,1009.829209738772,1292.3537923549982,738.6015588174034,347.42538614165284,123.24505881192243,742.2857612663473,13.741402935663155,415.1224143034103,8391.626366157658,38.93105905308968,1672.4326978941715,55.931245409600656,950.5265338785175,57.569845324095894,30.629556142639466,30.73422272891705,831.7356368459708,14284.976266950222,6828.976332723107
20,scramble_2,1281.93,128.193,6.743191905954303,3.7644801198193343,0.7705880976340361,3.1273470470306486,2.4084154361002548,1.295889791174245,186.89491625907812,121.15444681066828,11.588635884954714,70.2340377399702,2.7502437730609315,22.541886062421504,4.444096011482686,14.824974842620112,30.372157606109536,15.869134820153985,145.33121153261098,18.134812353248613,2123.80785222282,21.203841083366488,10.332498654372703,10.321686831574267,121.24345323067561,85.84150460633576,61.01952524708837,675.9552705685957,4.214645105426973,1.2121254670691848,1.2659661603987737,6.308425577059588,954.3082695623006,1280.7392603340277,640.7486992269468,157.9321179783607,274.4014415763731,659.3265778942688,10.16092922390458,322.3677111854782,6790.982892981676,29.016092922390456,1372.7548618099272,43.71984429727051,802.8348505768645,52.063950449712536,22.33831800488326,26.20359926049004,682.9854672251995,11724.930706044792,6182.9314393141585
