Proteomics,RNA,ChIP
,,Gas2
,,Arhgef10l
,,Edn2
,,Fgd4
,,Tmprss6
,,Ubl3
,,Lppos
,,Paqr7
,,Zfp422
,,Gstp1
,,Gm6981
,,Kdm3a
,,Ppp4r4
,,Polh
,,Nr4a3
,,Prg4
,,Serf2
,,AU019990
,,Cdc34
,,Aox3
,,Ncapd3
,,Fasn
,,Bnip2
,,Olfr1442
,,Mfsd1
,,Dnaja3
,,Scpep1
,,Smarca2
,,Pgs1
,,Lrig3
,,Mkks
,,Serpina12
,,Pnpla8
,,Mir297-1
,,Gm9949
,,Tmem243
,,Tmem131
,,Rnf103
,,2210408F21Rik
,,R3hdm2
,,Dynlrb2
,,Ubr2
,,Gm15417
,,Mir33
,,Odr4
,,Prss52
,,Mbl1
,,Zbtb41
,,Slc7a10
,,Tuft1
,,Tada1
,,Usp48
,,Strn3
,,Irs1
,,Cyp2f2
,,Itih3
,,2010109A12Rik
,,Gm32461
,,Mup10
,,Cfap77
,,Mir3074-1
,,Gm9920
,,Ap3s1
,,Lrp6
,,Mthfd1
,,Bnip3
,,Cyp26a1
,,Mir3064
,,Fth1
,,Tardbp
,,Ccser2
,,Zfp184
,,B430010I23Rik
,,Traf3ip3
,,Asap3
,,Gm29443
,,4930455H04Rik
,,4932438A13Rik
,,A2ml1
,,Cdv3
,,Neb
,,Lancl1
,,E330011O21Rik
,,Hist1h4h
,,Slc15a4
,,Fam120b
,,B230217O12Rik
,,Chaf1b
,,Hao1
,,Parm1
,,Osbpl9
,,Naif1
,,Zranb1
,,Lgr4
,,Gm36283
,,Mir1938
,,Mup18
,,G530011O06Rik
,,Mthfsl
,,Onecut2
,,Cxcl12
,,Slc10a1
,,Psen1
,,Zkscan1
,,Slc9a3r1
,,Rnf38
,,Gm26685
,,Ifnb1
,,Ugcg
,,Tmem51os1
,,Fads1
,,Gtf2ird2
,,Jmjd1c
,,Dnah6
,,Cdk8
,,AV051173
,,8430437L04Rik
,,Zmat3
,,Tk1
,,Smad1
,,Sdhd
,,Pip5k1a
,,Abca8a
,,Cfhr1
,,Cflar
,,Dclre1a
,,Cobl
,,Arsg
,,BC049352
,,Smarca5
,,8030442B05Rik
,,Nhsl1
,,Ppp2r1b
,,Cisd2
,,Trim55
,,Skor1
,,Lhx6
,,Mir3473g
,,Ulk1
,,4930542M03Rik
,,Spryd7
,,Sae1
,,Slc25a30
,,1700085C21Rik
,,Ndufb10
,,Mrgprg
,,Ccn2
,,3110009F21Rik
,,Cxadr
,,Psmd9
,,4930526I15Rik
,,Nbr1
,,Cry2
,,Loxl2
,,Atxn7l1
,,Negr1
,,Fpgs
,,Med18
,,Smad7
,,E130310I04Rik
,,Gm19461
,,Arl5b
,,4933407G14Rik
,,Acsf2
,,Cyp2u1
,,Trim26
,,Cop1
,,Mrpl14
,,Zfp281
,,Eif3a
,,Gstz1
,,Rin3
,,Arid1b
,,G3bp2
,,Rhbdd3
,,St3gal5
,,Mir3073a
,,Slc8b1
,,Nabp1
,,Nfatc3
,,Dct
,,Zfp707
,,St6gal1
,,Tmem106a
,,C8g
,,Hal
,,Itgb6
,,Rpl37rt
,,Anxa9
,,Fut10
,,Tnk2
,,Sgta
,,2810459M11Rik
,,Lsm4
,,Dlg1
,,1700113A16Rik
,,Rab21
,,4933434E20Rik
,,Gm973
,,Arhgef18
,,Tst
,,Ppp2r3a
,,Slc35d2
,,Dhrs7
,,Bicra
,,Aco1
,,Ldhal6b
,,Bad
,,Slc25a26
,,Atic
,,Gldc
,,Uhrf1bp1l
,,Trim25
,,Egln2
,,1700112J16Rik
,,Ormdl3
,,Chat
,,Scap
,,Apoc4
,,Supt4a
,,Larp1
,,Lrg1
,,Stat1
,,Sumf2
,,Ptpn21
,,Zfp866
,,Chkb
,,Lrrc61
,,Tbca
,,Zc3h15
,,Kcnn2
,,Cfh
,,Foxa3
,,Cyp4a14
,,Morn3
,,Mir12192
,,C4bp
,,Mus81
,,Scaf1
,,Gadd45g
,,BC004004
,,6030466F02Rik
,,Tmem140
,,Rhou
,,Adam30
,,Habp2
,,Nfyb
,,Tgfa
,,Iws1
,,Ttc39b
,,Cxcl9
,,Gm32200
,,Fsd1l
,,Pxk
,,Klf13
,,Gm12633
,,Aco2
,,Hsdl2
,,Serpina1b
,,Tlcd2
,,Josd1
,,Scarb2
,,9030619P08Rik
,,Pcsk6
,,Nfkbia
,,Thumpd2
,,Fam210a
,,Ly6f
,,Fbxo9
,,Gcnt4
,,Rsc1a1
,,2810429I04Rik
,,Smim4
,,Hspbap1
,,Hspa9
,,Nr1i3
,,Gm10768
,,Mir103-1
,,Nr6a1
,,Nt5dc3
,,Nat8f1
,,Lonp2
,,Agxt2
,,Hbs1l
,,Pcbp1
,,Tiam2
,,Upb1
,,Mb21d2
,,Gm14164
,,Bpnt1
,,Gm14057
,,Rnase4
,,Car1
,,Ntrk2
,,Mir26b
,,Smg7
,,Rdh5
,,Czib
,,Puf60
,,Usp50
,,Creb3l3
,,Rrm2
,,Plekhg2
,,Washc2
,,Inca1
,,Cnot8
,,Abhd3
,,Il15ra
,,Strbp
,,Prep
,,Dand5
,,Nr2c1
,,Wsb1
,,Opa3
,,Gm3704
,,Bend3
,,Mir6997
,,Pias4
,,Lman1
,,Unk
,,Mycl
,,Rcbtb2
,,2700012I20Rik
,,Dhcr24
,,Dpep1
,,Twist2
,,Mir12195
,,Sel1l
,,Myo10
,,Trhde
,,Mpp6
,,Oat
,,Pqlc3
,,Gstt1
,,Bag3
,,Ugt1a6a
,,Oxsm
,,Sgms1
,,Icam2
,,Git2
,,G3bp1
,,Tm7sf3
,,Ptger3
,,Degs1
,,Narf
,,Abcc12
,,Fis1
,,Mrgpre
,,Smyd3
,,Hist2h2aa2
,,Dedd2
,,Mtif3
,,Klhl21
,,Sult1d1
,,Pex11g
,,4732416N19Rik
,,Mir5623
,,Hspa1l
,,Cdc14b
,,Vps26c
,,Dbi
,,Ugt1a9
,,Papola
,,Armc12
,,Usp10
,,Ddx42
,,Jun
,,A230083G16Rik
,,Mir6965
,,Gpd1
,,5730435O14Rik
,,Maip1
,,Prdm2
,,Unc93a
,,Actr3
,,Irf6
,,Zfp236
,,Saa4
,,Ric8b
,,Tspan33
,,Birc2
,,Ephx1
,,Cebpb
,,Traf5
,,Gfod2
,,Tgoln1
,,Snap23
,,Psmd6
,,1110036E04Rik
,,9130409I23Rik
,,Wdr92
,,Ptpmt1
,,Cradd
,,Pla2g12a
,,Gprin3
,,Tafa2
,,Csf1
,,Nsd3
,,Ptma
,,Pnrc2
,,Tmem116
,,Mug2
,,Acot4
,,Mir5709
,,Ido2
,,Dcaf11
,,Amacr
,,Pigv
,,Slc25a3
,,Aox1
,,Alcam
,,Mapk4
,,Keg1
,,Ubqln1
,,Clp1
,,Ciz1
,,Yy1
,,Car5a
,,Zfp248
,,Glrx
,,Slc25a45
,,Necap1
,,Tbc1d14
,,3110009E18Rik
,,1700119H24Rik
,,Ifrd2
,,Mir7073
,,Gclm
,,Map3k1
,,Zfyve1
,,Mir192
,,Gm44505
,,Hspa5
,,Mir339
,,Ints2
,,Mir1271
,,Smad9
,,Actr1a
,,4930554I06Rik
,,A930001C03Rik
,,4930402H24Rik
,,Slco2a1
,,Smim27
,,Aacs
,,Ndufs6
,,Ube2u
,,Mnt
,,Tent4b
,,Anp32a
,,Gm6793
,,Nr3c2
,,Armc6
,,Etfa
,,Cdc42
,,Gm5099
,,Ranbp2
,,Dusp12
,,Tmem86b
,,Ski
,,Nsmf
,,Sdhaf1
,,Gm1821
,,Ankrd31
,,Parp6
,,Gm15326
,,Txndc9
,,Snord14c
,,Pqlc2
,,Lyl1
,,Xylb
,,Abhd15
,,Akap8
,,Gnat1
,,C9
,,Tacc3
,,Aebp2
,,Efhd2
,,Npr2
,,Tmem205
,,Serpina10
,,Ppp1r3c
,,Mir3094
,,Ptbp3
,,Kif1b
,,C2cd4d
,,Aopep
,,Gm19619
,,B3galnt1
,,Ldlrad4
,,Sdsl
,,Sdk1
,,Spop
,,Snrpe
,,Gsap
,,Sars
,,Smc5
,,2310033P09Rik
,,Mir5119
,,Ammecr1l
,,Sftpb
,,Rfc2
,,Akr1c6
,,Ccdc34
,,Mir682
,,Srsf2
,,Gm35549
,,Setd5
,,Tnfsf4
,,Acadl
,,Bcas3os1
,,Nfasc
,,Ost4
,,Polk
,,Arhgef19
,,Bckdha
,,Fyb2
,,Naa50
,,44993
,,Zmym2
,,Olfr541
,,Mylk
,,Aspa
,,Ttc7
,,0610005C13Rik
,,Gm36229
,,4930591A17Rik
,,Lrrfip1
,,Cyp39a1
,,Abca3
,,Tenm3
,,Cryaa
,,Prpf4b
,,Riok1
,,Zc3h14
,,Gm12724
,,Tmem211
,,Atpsckmt
,,Ppp4r2
,,Irf2bpl
,,Nlrp4f
,,Kdm2b
,,Hsd3b5
,,Apon
,,Tmcc3
,,Mocs1
,,Unc93a2
,,Adra2a
,,Ankrd33b
,,Gata6
,,Hc
,,Eif4h
,,Hist1h4c
,,Acbd3
,,Mir6951
,,Mir12182
,,Tgfbr1
,,Snhg3
,,Spout1
,,Mir21c
,,Mrpl32
,,Otud7b
,,Hsd11b1
,,Gls2
,,Wsb2
,,Mgam
,,Romo1
,,Mir7015
,,Gm10532
,,Sh3yl1
,,Gm17634
,,Klf10
,,Gusb
,,Slc37a4
,,Gpd2
,,Ptp4a2
,,Cmas
,,H2afy3
,,Leng9
,,Ier3
,,Osbpl5
,,Hist1h2bl
,,Actb
,,Tia1
,,Ube2v1
,,Dkk3
,,Efna3
,,Eml4
,,BC030867
,,Ykt6
,,Glo1
,,Tax1bp1
,,Gm12992
,,Chst13
,,Fancm
,,1810012K16Rik
,,Tefm
,,Actn1
,,Plekhf1
,,Rabggtb
,,Acly
,,Hmga1
,,Hectd2os
,,1700001C19Rik
,,Rtn3
,,Zxdc
,,Mir378a
,,Gm19276
,,Abca5
,,Slc46a1
,,Shroom3
,,Reps1
,,Kbtbd11
,,Btd
,,Dock8
,,Zeb1
,,Socs3
,,Mir101a
,,Nans
,,Serbp1
,,Bcas1
,,Tectb
,,Atxn1
,,Neu3
,,Slc6a9
,,Ube2i
,,Vdac3
,,Gabpb1
,,Cited2
,,Fbxl5
,,Cfap20
,,Gamt
,,Cyp4b1-ps2
,,Arl8b
,,Ctbp1
,,D2hgdh
,,Snora30
,,Ankrd10
,,Smurf2
,,Rbm25
,,Nr2c2ap
,,Serp2
,,Igfals
,,Ptpre
,,Zbtb39
,,Kif21a
,,Gm15408
,,Appl2
,,Ell
,,Mir8101
,,Psap
,,Ugt2b38
,,Gm30505
,,Ninj1
,,Smim19
,,Il17ra
,,Tmem184b
,,Hsf4
,,Yars2
,,Ampd2
,,Flad1
,,Ing3
,,Ugdh
,,Sdccag8
,,Ctsl
,,Acot13
,,1700007L15Rik
,,Adprm
,,Ndufv1
,,Gzf1
,,Dusp10
,,Kif11
,,Usp4
,,4930506A18Rik
,,Cherp
,,Depdc5
,,Gt(ROSA)26Sor
,,Cyp1a1
,,Pknox2
,,Rnf43
,,A730081D07Rik
,,Agap1
,,Plin3
,,Apof
,,Sult2a7
,,Cnot6l
,,Adad1
,,Plekhj1
,,Bid
,,4930429F24Rik
,,Rps27l
,,Tmie
,,Gm6614
,,1700042O10Rik
,,Ncor1
,,Nuak2
,,Cphx3
,,Atp6v0d2
,,Tgm2
,,Orm2
,,AU023762
,,Ticam1
,,3110045C21Rik
,,Actn4
,,Fbxo22
,,Numa1
,,Tet2
,,Platr9
,,Aamdc
,,9530091C08Rik
,,Mir6947
,,Rtf2
,,Kctd20
,,Vps37c
,,Acot1
,,Birc3
,,Cnpy4
,,Cpsf6
,,Saysd1
,,Cpq
,,Aptx
,,Dnajb7
,,Nek8
,,Pctp
,,Gnb4
,,Ep300
,,Phlpp1
,,Foxo1
,,G6pc2
,,Cgnl1
,,Coq10a
,,1700072O05Rik
,,BC051665
,,Prkd3
,,Atpif1
,,Scaf11
,,Rdh18-ps
,,Bfsp2
,,Zfand3
,,Dpp8
,,Preb
,,1700017B05Rik
,,Pcbp2
,,Rab43
,,Ddx58
,,Ttc27
,,Pygl
,,Ugt2b5
,,Slc5a11
,,Lypla1
,,Gm16740
,,Nek7
,,Snord71
,,A830029E22Rik
,,Stat5a
,,Atp5b
,,B4galnt1
,,Zfc3h1
,,Stau1
,,Fgl1
,,Ei24
,,BC042761
,,Mroh2a
,,Selenoi
,,Mir1903
,,Dynlrb1
,,Mthfs
,,Nat8
,,Tbc1d13
,,Acadm
,,Fau
,,Chuk
,,Gpbp1l1
,,Tspan12
,,Mascrna
,,Hnrnpa2b1
,,Megf9
,,Thrap3
,,Vamp8
,,Gstt3
,,Net1
,,Etnppl
,,Kdelr2
,,Prxl2c
,,Fkbp8
,,Kctd17
,,Khdc1a
,,Bag6
,,2610307P16Rik
,,Mkln1
,,Sec24c
,,Tmem154
,,Grpel2
,,Klrg1
,,Pfdn2
,,Jund
,,Rasl11b
,,Mbd3
,,Ctrb1
,,Zfp959
,,Aqp11
,,Ifnar1
,,Helz2
,,Dsg1c
,,Map2k5
,,Slc25a22
,,Bcl2l11
,,Zc3h12c
,,Susd1
,,Gm867
,,Cryz
,,2810414N06Rik
,,Rell1
,,Emc6
,,4930480G23Rik
,,Acsm2
,,Insc
,,Mir6934
,,Spag9
,,Skil
,,Mir3108
,,Bcl9l
,,Rack1
,,Itsn1
,,Rd3
,,Gm12915
,,Aifm2
,,Mir3066
,,Ttc13
,,Acaa1a
,,Chit1
,,Aadac
,,Crp
,,Acad10
,,Rbm4b
,,Kat6a
,,Esr2
,,Lamp2
,,Zfp740
,,Cyb5b
,,Ntn3
,,Cdc42ep4
,,Shf
,,Mir7117
,,5430416N02Rik
,,Fbxo8
,,Pomgnt2
,,Grid1
,,Mob4
,,Ifnar2
,,Bmper
,,Ddb1
,,Rnf157
,,Mgrn1
,,Nrros
,,Irf2bp1
,,Hint1
,,Prkaa2
,,2310057M21Rik
,,Odc1
,,A930018P22Rik
,,Epb41l4b
,,Cyp3a44
,,AW146154
,,Mir8112
,,Prkab2
,,Gpbp1
,,Amigo2
,,Dennd1a
,,Orc4
,,Acnat1
,,Plcg1
,,Cds2
,,Mir466h
,,Gm16325
,,Rbl2
,,Onecut1
,,Ccdc57
,,Ppp2ca
,,Nat9
,,Degs2
,,Tstd2
,,Alg14
,,Vtn
,,Chmp3
,,Bbs2
,,Shpk
,,Trim7
,,Gm4651
,,Cdh15
,,Ccdc138
,,Skp2
,,Mmd
,,Fxr2
,,Slc39a9
,,Hipk2
,,44991
,,Slc25a44
,,Iigp1
,,Kctd15
,,Kif28
,,Rragc
,,Tpst2
,,Slc22a5
,,C130074G19Rik
,,Mmadhc
,,Znhit6
,,Prrc2b
,,Ctdsp1
,,Cct5
,,Cpne3
,,Cdc42ep1
,,Gtf3a
,,Kl
,,Smok3a
,,Vps13c
,,Srl
,,Arpp19
,,Dnajc16
,,Ercc4
,,Rdx
,,4933440M02Rik
,,Cyp2c39
,,Mrpl45
,,Setd1a
,,Gch1
,,Pcmtd1
,,Hyal1
,,Aldh1a1
,,E230013L22Rik
,,Nuf2
,,Vps37b
,,Scrn3
,,Mlst8
,,Ccdc58
,,Vwde
,,Ubald1
,,5730405O15Rik
,,Uqcc2
,,Nudt19
,,Soat2
,,Lrrc4
,,Emg1
,,Wdfy3
,,Dcaf1
,,Lyn
,,Tmed9
,,2900052L18Rik
,,Apol7d
,,Cntnap5b
,,Ubxn4
,,Cul2
,,Prim2
,,Mettl8
,,Snx18
,,Micos13
,,Tent4a
,,Glyctk
,,Rmnd5a
,,Etv6
,,Atp11b
,,Palld
,,Gm33035
,,Tango2
,,Agfg2
,,Atg7
,,Ccn6
,,Dnajc3
,,1700122C19Rik
,,Rpl37a
,,Sp1
,,Kdr
,,Dixdc1
,,Tmem248
,,Dennd4a
,,Pafah1b1
,,Abhd2
,,Tpd52l1
,,Erc2
,,Mbtps1
,,Pink1
,,Tatdn2
,,Ccdc97
,,Gfod1
,,Hsbp1l1
,,Tomm40l
,,Nek6
,,Polr1d
,,Serpina11
,,Fam193a
,,Med13
,,Usf2
,,Stab2
,,Mir6388
,,Ulk2
,,Tor1aip2
,,Hpn
,,Arl4a
,,Aldoart1
,,1700034H15Rik
,,Npffr2
,,Psmd1
,,Trpm7
,,Mbnl1
,,Hnrnpf
,,Csk
,,Atad3a
,,Cmbl
,,Azin1
,,Arhgdia
,,Pex5
,,Eny2
,,Slc10a2
,,Mettl21c
,,Nemf
,,Rplp1
,,4931422A03Rik
,,Serping1
,,Cntd1
,,Rab5if
,,1700036G14Rik
,,Ecm2
,,Acss3
,,Tank
,,Ccnl1
,,A330040F15Rik
,,Cabyr
,,Gng12
,,Phf2
,,Hsp90b1
,,Fzd5
,,Entpd5
,,Erbb3
,,Lax1
,,Lingo2
,,Marveld2
,,Sntg1
,,Lrrfip2
,,Osbpl8
,,Prdx6
,,Abcb10
,,Rbm12b1
,,Redrum
,,Tut4
,,Slc31a1
,,Nfx1
,,Arhgef11
,,Itga7
,,Calr
,,2310015A10Rik
,,Inf2
,,Orm1
,,Maf
,,Fbxo42
,,Pten
,,Cyp2c55
,,Wapl
,,Hmgcr
,,Arhgap42
,,Slc12a7
,,Gng5
,,Gcfc2
,,Syvn1
,,Mir499
,,Inava
,,Prpf19
,,Tmem41b
,,Smg1
,,Cd44
,,Lag3
,,Rffl
,,5430405H02Rik
,,Mpz
,,Olfml2b
,,8430423G03Rik
,,Ackr4
,,4930572O13Rik
,,Synb
,,Bfar
,,Atp5d
,,Tnfaip8l1
,,Immt
,,Cyp21a1
,,Hspb8
,,Dnajb11
,,Nat10
,,Prss35
,,Ccdc33
,,Thap12
,,Gm13872
,,Fgd2
,,H2-T23
,,Clstn3
,,Cd180
,,Pnkp
,,Elovl3
,,Ddah1
,,Ankrd13c
,,Zbtb21
,,Mettl15
,,AW495222
,,2610306M01Rik
,,Tmf1
,,Abtb2
,,U2af1
,,Bdp1
,,Polr3h
,,Tmem170b
,,Cfi
,,L3mbtl4
,,Tmem72
,,Ttc37
,,Mir194-2
,,Itih4
,,Morn1
,,Tmem14c
,,Fosl2
,,Dph6
,,Zbtb20
,,Gopc
,,Acot12
,,Arid2
,,Rbbp8
,,Gprc5c
,,Rida
,,Bicral
,,4930474N09Rik
,,Kif1c
,,Grb7
,,Celf1
,,Akap10
,,Ahsa2
,,Eef1akmt1
,,Sart1
,,Ube2d3
,,Tapt1
,,Aldh5a1
,,5430427O19Rik
,,Urad
,,Hpcal1
,,Gm12354
,,Vkorc1
,,Ucp3
,,Pptc7
,,Hsf5
,,Nras
,,Tsacc
,,Ube2cbp
,,Tlr3
,,Pcbd1
,,E2f7
,,D830031N03Rik
,,Gnpnat1
,,Cxcl11
,,C920006O11Rik
,,Mettl7a2
,,Myo9b
,,Coa4
,,Ugt2b34
,,Uba5
,,Ifit1
,,Gm10556
,,Mgat2
,,Rps14
,,Agmat
,,2610203C22Rik
,,Wdfy2
,,Tshz1
,,Ncoa4
,,Elp6
,,Crybb3
,,Olfr1033
,,Gm20619
,,Snora23
,,Sec11a
,,Avpi1
,,P2rx4
,,Zfp526
,,Gpx4
,,Cnksr3
,,Eldr
,,Actr6
,,Rhob
,,Gm17767
,,Borcs6
,,Olfr1443
,,Tmem259
,,Uso1
,,Hspb1
,,Cst10
,,Hsd3b2
,,Klrb1a
,,Map3k11
,,Zfyve26
,,Nsun7
,,Mir7671
,,4930405A10Rik
,,Abcc3
,,Avpr1a
,,Pklr
,,Tspan2
,,Mir582
,,Tsc22d3
,,Chka
,,Mir7240
,,Pex10
,,Jak1
,,Adcy5
,,Chd1
,,Cryzl1
,,Abca9
,,Kmt2e
,,Rnf121
,,Txndc5
,,Stat3
,,Arhgap24
,,Serpina3n
,,Corin
,,Fam47e
,,Capg
,,Cers6
,,Egf
,,Nqo2
,,Taok1
,,Acss2os
,,Mir12184
,,2010010A06Rik
,,Ube2m
,,Sec24d
,,Gm15511
,,Tnpo2
,,Mlh1
,,Gtf2b
,,Cwf19l1
,,Map2k3
,,4930414N06Rik
,,Dpy19l1
,,Fut8
,,2310068J16Rik
,,Trpc4ap
,,Rad50
,,Ccdc77
,,Hsp90aa1
,,Slc4a4
,,1190005I06Rik
,,Fermt2
,,Ptpn2
,,Rrn3
,,Prr5
,,Zcchc7
,,Sipa1l1
,,Dhx9
,,Orai1
,,Naa16
,,Il1f9
,,Mir7032
,,Cyhr1
,,Dipk1a
,,Eefsec
,,Mccc2
,,Serpina3a
,,Gcc2
,,Gm19705
,,Ccne2
,,Fbxl3
,,B4galt1
,,Nsmce4a
,,Rnu11
,,Snord49a
,,Adh5
,,Lin7a
,,Mypn
,,Dlx1
,,4930539E08Rik
,,Cep57l1
,,Smcr8
,,Cish
,,Mir107
,,Pex26
,,Efcab1
,,Sppl2a
,,Snord111
,,Ppp6r2
,,Usp2
,,Mir7669
,,Arl5a
,,Mvb12a
,,Sel1l3
,,Fgr
,,Xpo5
,,2310061I04Rik
,,Qdpr
,,Snora28
,,Gphn
,,BC021767
,,Hmgn3
,,Gk2
,,Trmt9b
,,Ptch1
,,2900093K20Rik
,,2200002J24Rik
,,5031425E22Rik
,,Hmgcl
,,Hnrnpdl
,,Sos1
,,Btnl10
,,Gm31763
,,Ctnna3
,,Arfgef2
,,Snap47
,,Plekhg3
,,Mcfd2
,,Rccd1
,,Dync1i2
,,Fdft1
,,2610005L07Rik
,,Gm17484
,,Rbm5
,,Ces1a
,,1700031P21Rik
,,C4bp-ps1
,,Dyrk3
,,1700019C18Rik
,,Vezt
,,Gm1653
,,Ddias
,,Clk1
,,Ppm1k
,,Abhd14b
,,Pus10
,,Lpgat1
,,Gnat2
,,Gm20755
,,St8sia1
,,Cyp2c50
,,B230303A05Rik
,,Cyp2j9
,,Pmf1
,,Mir677
,,Spryd4
,,Prrc2c
,,Sdc1
,,B230217C12Rik
,,1700008J07Rik
,,Jarid2
,,Hp1bp3
,,Eprs
,,Tut7
,,A630076J17Rik
,,Pdgfrl
,,Polg2
,,Ccdc107
,,Podn
,,Cltc
,,Il17b
,,Dnase2b
,,Nol11
,,Homer1
,,BC049762
,,Hdhd5
,,Ndufaf4
,,Cdkn2aip
,,4921524J17Rik
,,Tmem97
,,Dhx40
,,Dctpp1
,,Tmem150a
,,9130015A21Rik
,,Psmg1
,,Trmo
,,Elfn1
,,Fam50b
,,Iqsec1
,,Sox5os3
,,Sacs
,,Trim8
,,Gm20745
,,Wac
,,Mmut
,,Hist2h4
,,Myo3b
,,Mir484
,,Ranbp9
,,Vasn
,,Pccb
,,Sbno1
,,Fmo3
,,Polr3gl
,,5730420D15Rik
,,Gtf2h2
,,Chrac1
,,Nos1ap
,,C130026L21Rik
,,Wee1
,,Dip2c
,,Fzd8
,,1700121N20Rik
,,Msrb1
,,1600014C10Rik
,,Fam187b
,,Gpatch8
,,Tbc1d7
,,Gm5334
,,1810041H14Rik
,,Stt3a
,,Zfp408
,,Gm10658
,,Lsm10
,,Gm4632
,,Smdt1
,,Gm21057
,,Llgl2
,,Vps11
,,6030407O03Rik
,,Fndc3b
,,Cbr4
,,Wdr91
,,Ptk2
,,Ppm1a
,,Atf5
,,Egln3
,,Fyco1
,,1700028I16Rik
,,Adarb1
,,Bco2
,,Chpt1
,,Syne3
,,Rock2
,,D5Ertd579e
,,Rab3a
,,1810064F22Rik
,,Pde4c
,,Wwc1
,,Mettl4
,,Proca1
,,Sertad2
,,Urod
,,Sbno2
,,Map3k12
,,Acacb
,,Thada
,,Rab24
,,C4b
,,Plac9b
,,Cabcoco1
,,Zfp750
,,Zfp768
,,Smarca4
,,Frzb
,,Rab1a
,,Zc2hc1c
,,Mir3058
,,Cfap97d1
,,Iba57
,,2010310C07Rik
,,Zfp638
,,Gstt2
,,Msl1
,,Myorg
,,Psma4
,,Rad23b
,,Fbrs
,,4930555K19Rik
,,Lcat
,,N4bp2l2
,,Pawr
,,Rbm4
,,G630064G18Rik
,,Pdcd4
,,Cops7b
,,Ttll5
,,Tlk1
,,Gmeb2
,,Luc7l3
,,Gucy2d
,,Dcaf13
,,Mlycd
,,Cant1
,,Ifitm2
,,Mir1930
,,Tbc1d30
,,Txndc11
,,Sqle
,,St3gal3
,,Adrb2
,,Cyp2d12
,,Sft2d3
,,Rfxank
,,Hnrnph3
,,Ceacam1
,,Tmem176b
,,Rnf14
,,Faah
,,Sh3pxd2a
,,Bok
,,1700026D11Rik
,,4930502E09Rik
,,Nfic
,,Otos
,,Arid1a
,,Gm7538
,,Ptprf
,,Postn
,,9430015G10Rik
,,Dnmt3a
,,Pgrmc1
,,Slc6a6
,,Ctbs
,,Zfp710
,,F10
,,Mir6935
,,Pdk4
,,2700049A03Rik
,,Spata2l
,,Atp6v1e1
,,Dnajc8
,,Snord118
,,Aspscr1
,,Fbxl22
,,Nobox
,,Ankrd11
,,Fgf21
,,Rabgap1l
,,C230035I16Rik
,,1810010H24Rik
,,Fam89a
,,Rusc1
,,Mapk15
,,Setd6
,,Aspg
,,Atp7b
,,Jsrp1
,,Ticam2
,,Lect2
,,Mir22
,,Coq7
,,Rnpc3
,,1110006O24Rik
,,Fnip1
,,Dhrs11
,,Dhdh
,,Ube2h
,,4930578N18Rik
,,Sec61g
,,Foxa1
,,H3f3b
,,G2e3
,,Itgb1
,,Svil
,,Lncbate10
,,Smndc1
,,Bri3bp
,,Gtf2e2
,,Mir12178
,,Etfdh
,,Rps6kc1
,,4930546K05Rik
,,Psma3
,,Gstm1
,,Cops3
,,Serpinb1a
,,Chmp2a
,,Nfkbiz
,,Ogdh
,,Rgcc
,,Mir8115
,,Stx1b
,,Mir1970c
,,4930552P12Rik
,,Amd2
,,Atox1
,,Wdtc1
,,Mtg2
,,Nup50
,,Ppp6r1
,,Gm15506
,,Apom
,,Repin1
,,Oxa1l
,,Gchfr
,,9930021J03Rik
,,AI427809
,,Sqor
,,Anxa7
,,Oxnad1
,,Slc23a2
,,Tfpi2
,,Ppp2r2d
,,Vwce
,,Zfp444
,,Mypop
,,Gm36908
,,Syne1
,,Mat2a
,,4921507G05Rik
,,Gpc6
,,Aff1
,,Dnhd1
,,Kcnq1ot1
,,Mrap
,,Siah1a
,,Mpp7
,,Fhad1
,,Etfb
,,Fgfbp3
,,Rpl7l1
,,4930405O22Rik
,,Sertad3
,,Fez2
,,Epc1
,,Fgfbp1
,,Frs2
,,Sema4g
,,Prps1
,,Mfsd8
,,Mgst3
,,Sult5a1
,,Rara
,,Safb
,,Rnf135
,,Dsg2
,,Prpf39
,,Sppl3
,,Pdp2
,,Uroc1
,,Gcnt3
,,Fhit
,,Mlana
,,Ttc19
,,Mt2
,,B230219D22Rik
,,Diaph1
,,Plppr1
,,2310040G24Rik
,,4930511E03Rik
,,Cphx1
,,Mir568
,,Lamtor3
,,Mir1934
,,Arnt
,,Nrsn2
,,Ibtk
,,Harbi1
,,Tesk2
,,Cep350
,,Gm3435
,,Pithd1
,,Car14
,,Rab11a
,,Prpsap2
,,Ces1g
,,Zfp619
,,Lipc
,,Tbc1d8
,,Hdgf
,,Elof1
,,Nisch
,,Atxn7l3b
,,Myoz3
,,Heatr6
,,Shprh
,,Ppil1
,,Paip2
,,Cyp2b13
,,Snx33
,,Adal
,,Gm2a
,,Rchy1
,,Dnajb3
,,Il6st
,,Hook2
,,Zfp292
,,Ppp1r8
,,Exoc6
,,Gnl3
,,Pemt
,,Entpd8
,,Atg3
,,Mir6925
,,Ccnt2
,,Gpatch1
,,Pum2
,,Mmachc
,,Mir6905
,,Slc25a32
,,Dhrs7b
,,Uspl1
,,Osbpl11
,,Ube2d2b
,,Hsd17b12
,,Cd1d1
,,Lbp
,,Morf4l1
,,Mindy1
,,Slc20a1
,,Snord98
,,Nit2
