Proteomics,RNA,ChIP
ranbp1,st5,Myo1e
rap2a,smarca1,Pon1
rap2b,btk,Gstp3
rbmx2,phka2,Hp
rdh14,haus7,Mir7661
recql4,abcd1,Lpin2
reep4,fam3a,Ddi2
rhob,plp1,Eed
rnaseh1,morc4,Adh1
rnaset2,gas6,Tob2
rnf128,coprs,Mir137
rnf13,slc25a15,Eva1a
rnf149,rab11fip1,Fgb
rnf167,ap3m2,Rassf3
rngtt,gpat4,Cccd201
rp9,ido2,Gm19774
rpl23,tenm3,Chchd10
rplp0p6,rbpms,Rbm47
rps11,slc7a2,Dhx8
rps15a,msmo1,Epas1
rps17,galnt7,Galm
rps19bp1,nr3c2,Shmt1
rps23,lrp2bp,Cyp2a22
rps26,cbr4,Pdilt
rps27,mfap3l,Tat
rps27l,hp,Alas1
rptor,mt2,Gadd45b
rraga,mt1,Mrtfb
rragc,slc12a3,Adgrv1
rragd,mast3,Gucd1
rras,psmb10,Zbtb16
rrm1,pla2g15,Clec2d
rrm2,x4931406c07rik,Serpina3m
rrp36,tbx20,Tarbp1
sacm1l,dixdc1,Sys1
scamp3,apoa5,Ass1
scarb1,bace1,Arhgef26
scarb2,mpzl2,Syf2
scpep1,nlrx1,Aldob
sdcbp,hyou1,Sptbn2
sdf4,bmp5,Mogat1
sdhaf3,carm1,Dhrs3
seh1l,myo1e,Mtus1
selo,nnmt,Cnot7
serinc1,idh3a,Dck
serpinb6,tle3,Mrs2
serpine2,ptpn9,Ttll8
serpinf2,x1700017b05rik,Nsun2
setsip,plscr1,Slc38a2
sft2d3,plscr4,Wbscr25
sgsh,dapk2,Mia2
shisa2,zwilch,Rtkn2
shmt1,me1,Slc39a14
siae,nmnat3,Apoa5
sidt2,pik3cb,Aldh1l1
slbp,cspg5,Map3k20
slc11a2,lrrfip2,Dhps
slc12a4,dclk3,Psma6
slc12a9,acpp,Lamb3
slc15a4,cish,St3gal1
slc17a5,hemk1,Ptges2
slc18b1,nckipsd,Ttr
slc20a1,abtb2,Ttpal
slc29a2,ablim3,Nfe2l2
slc29a3,tpcn1,Mup14
