Compound Name, RT, Mass,COLD,RT, Liver 07 45x pos 080921 052, Liver 08 45x pos 080921 050, Liver 09 45x pos 080921 065, Liver 10 45x pos 080921 057, Liver 11 45x pos 080921 056, Liver 12 45x pos 080921 062, Liver 01 45x pos 080921 064, Liver 02 45x pos 080921 063, Liver 03 45x pos 080921 059, Liver 04 45x pos 080921 058, Liver 05 5x pos 080921 068, Liver 06 45x pos 080921 051,FC,P_VAL,log_FC
,7.261,429.3734,5140.9505,4119.2395,5558.111,4895.095,5015.934,5010.642,6198.334,5265.967,4013.004,3093.407,4859.941,4588.033,3760.458,4225.475,1.248033891,0.003496778,0.319657112
,6.994,674.4325,1458.804,458.39905,1757.318,1029.511,1485.392,1145.51,1564.114,1432.216,972.0475,0.001,1016.022,916.7971,0.001,0.001,3.182388794,0.003640526,1.670110101
,8.432,785.594,677166.35,496508.25,734897,665745.9,699987.3,605430.8,688586.8,584848,567705.8,308541,529069.8,592219.2,463946.7,392367.4,1.363857197,0.00401266,0.447692594
,8.031,787.5363,18360.5,11455.635,18237.21,22025.68,17616.04,18483.79,13930.48,18528.36,11204.55,10853.6,11399.49,16329.55,15507.05,11511.78,1.602748342,0.004254369,0.680547916
,7.992,636.4729,6668.8305,2229.795,8054.08,7303.067,6494.424,6685.021,6652.64,4668.974,4006.729,1769.281,6558.769,0.001,0.001,2690.309,2.990781888,0.0043194,1.580522701
,8.084,1306.3672,6697.108,2965.9245,7942.492,7680.111,5571.355,6329.845,7064.371,5500.659,3306.141,0.001,0.001,3228.732,6748.126,2703.117,2.25801702,0.004746211,1.17505636
,7.909,790.5643,11318.41,2693.2,12329.25,9902.413,10737.45,11026.47,11610.35,11693.35,0.001,9505.116,0.001,5386.399,0.001,9801.755,4.202587999,0.004935095,2.071278029
,6.916,781.5628,3732907.5,3039660,4126652,3652970,3964197,3717490,3748325,3616060,2911061,1649708,3168259,3391218,3244195,2558464,1.228067448,0.005056286,
,9.018,588.4733,15688.93,8623.2725,20995.63,16204.63,12524.19,15173.23,16494.23,12150.34,12194.31,4775.036,12575.93,10415.82,6830.725,5579.25,1.819370778,0.005068238,
,10.062,637.5646,15060.555,11021.7,21043.86,14459.53,15661.58,13861.46,23199.46,14249.31,13008.96,7663.317,10978.34,11065.06,11684.69,9706.563,1.366445739,0.00523402,
,9.183,640.5046,261429.05,180928.15,328958.7,272466.2,250391.9,233619.6,304849.9,211413.4,225189.9,96586.55,198164.5,209215,163691.8,121394.4,1.444932975,0.005353671,
,5.596,821.5574,4460.2785,2811.4195,4156.343,5307.968,3430.444,4764.214,4929.285,3182.36,3212.447,2039.677,2383.203,3275.975,3455.594,2410.392,1.586486293,0.005370938,
,10.882,562.4154,17382.965,20043.295,17393.34,18677.66,16990.27,17722.57,17372.59,17295.48,20162.21,17902.11,19924.38,22938.28,20423.14,19302.03,0.867270825,0.005386958,
,8.883,777.5686,7079.4065,4617.7715,7820.522,7205.444,5941.019,6817.637,6953.369,7416.386,4443.84,0.001,4791.703,5740.733,2274.655,5229.583,1.533078564,0.005517989,
,8.271,667.6127,6287.741,3493.8225,7037.632,9673.488,4450.085,6472.275,6103.207,4075.252,3858.596,2761.054,3798.003,3533.667,3453.978,2173.037,1.799673853,0.005681175,
,6.75,778.0311,7175.3215,1296.909,8363.518,7496.657,5931.232,8671.393,6853.986,3866.156,0.001,1071.974,5454.871,5816.68,1521.844,0.001,5.532632976,0.005733275,
,6.916,781.6241,156453.2,119299.45,177583,149905.5,166085.3,155534,157372.4,143058.1,114451.4,55714.01,124147.5,146004.2,125241.7,97688.2,1.311432701,0.00576683,
,9.339,1249.9689,982.9219,374.6616,1213.034,1442.616,954.9136,951.3011,1007.817,958.0268,0.001,749.3222,841.5258,809.0865,0.001,0.001,2.623492506,0.005818557,
,8.16,1324.9334,27773.44,19792.695,35311.74,29848.75,25045.83,25698.13,38014.99,20297.86,20621.42,7795.8,20086.52,19831.62,19753.77,13992,1.403216692,0.005826485,
,9.183,635.5491,140003.75,88339.345,195816,153257.4,126750.1,121921.1,172115.1,113263.3,119409.7,41883.5,107995.4,99071.7,77606.99,49134.18,1.584840254,0.005827573,
,10.75,644.5355,8812.726,6263.7005,9659.43,7966.022,11573.12,7578.175,10335.82,7752.873,7269.008,2937.551,7036.72,7148.756,5490.681,3891.876,1.406952009,0.005929111,
,10.668,775.6452,6198.9645,3400.2255,8643.965,8105.863,4863.525,6111.701,5286.227,6286.228,2538.603,3009.164,2698.99,3791.287,4845.259,5659.015,1.823103938,0.006061954,
,9.932,642.52,57511.97,34562.545,67216.44,59244.35,55779.59,52340.26,65775.52,47293.86,55106.02,21168.96,45295.76,42382.02,26743.07,24003.27,1.663996966,0.00626162,
,9.179,649.5656,2192.682,1336.1075,2846.574,2256.344,1951.429,1951.125,3115.798,2129.02,1757.482,0.001,1478.158,1767.858,1194.057,1143.222,1.641096993,0.006295701,
,8.154,662.4469,1513381,1441724,1526041,1548120,1472128,1516287,1510475,1466859,1464161,1401137,1466269,1484041,1414850,1419287,1.049702301,0.006378773,
,6.955,755.5469,372924.3,191738.15,362957.2,434534.6,282952.4,382891.4,388660.8,221003.7,201919.3,76770.09,262596.4,279622.2,181557,170413.2,1.944966612,0.006456263,
,9.31,788.6751,29260,18923.395,31562.31,21476.41,30849.64,28871.93,29648.07,21472.95,18216.01,13161.07,19630.78,21757.8,24161.56,14353.01,1.546234172,0.006471612,
,8.336,729.5315,18958.93,14494.67,21453.38,16785.22,22911.5,17262.03,20655.83,16780.09,12962.41,11592.15,14911.88,14077.46,17832.49,15497.64,1.307993214,0.006484728,
