Lipid,log2(FC),-log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
PG 18:2_20:3,-0.667721717,2.4376,TRUE,DOWN,PG 18:2_20:3,sig,0.6295,0.0037
PG 18:2_20:4,0.261350279,0.58,FALSE,NO,NA,not,1.1986,0.263
PG 18:2_20:5,0.242815884,0.508,FALSE,NO,NA,not,1.1833,0.3105
PG 18:2_22:5,0.123666196,0.2621,FALSE,NO,NA,not,1.0895,0.5469
PG 18:2_22:6,0.330787836,0.8674,TRUE,UP,PG 18:2_22:6,sig,1.2577,0.1357
PG 18:3_22:6,0.295605489,0.6267,FALSE,NO,NA,not,1.2274,0.2362
PG 18:3_22:6_2,0.386259141,0.4882,FALSE,NO,NA,not,1.307,0.3249
PG 20:0_22:6,-0.006072079,0.0101,FALSE,NO,NA,not,0.9958,0.977
PG 20:1_22:6,0.192951618,0.4237,FALSE,NO,NA,not,1.1431,0.377
PG 20:2_22:6,0.297015288,0.9988,TRUE,UP,PG 20:2_22:6,sig,1.2286,0.1003
PG 20:3_22:6,0.059493725,0.0708,FALSE,NO,NA,not,1.0421,0.8496
PG 20:4_22:4,-0.75097949,0.5857,FALSE,NO,NA,not,0.5942,0.2596
PG 20:4_22:5,-0.232768963,0.2511,FALSE,NO,NA,not,0.851,0.5609
PG 20:4_22:6,0.039278795,0.058,FALSE,NO,NA,not,1.0276,0.875
PG 20:5_22:5,0.104873377,0.1217,FALSE,NO,NA,not,1.0754,0.7556
PG 20:5_22:6,-0.393084058,0.7458,FALSE,NO,NA,not,0.7615,0.1796
PG 22:4_22:6,-0.1376478,0.1892,FALSE,NO,NA,not,0.909,0.6468
PG 22:5_22:6,-0.293005384,0.517,FALSE,NO,NA,not,0.8162,0.3041
PG 22:5_22:6_2,0.027578727,0.0422,FALSE,NO,NA,not,1.0193,0.9074
PG 22:6_22:6,-0.524500013,0.7303,FALSE,NO,NA,not,0.6952,0.1861
PI 16:0_18:2,-0.337885669,1.5575,TRUE,DOWN,PI 16:0_18:2,sig,0.7912,0.0277
PI 16:0_18:3,-0.137171742,0.5767,FALSE,NO,NA,not,0.9093,0.265
PI 16:0_20:3,-0.759258269,1.9604,TRUE,DOWN,PI 16:0_20:3,sig,0.5908,0.011
PI 16:0_20:4,-0.040823363,0.1812,FALSE,NO,NA,not,0.9721,0.6589
PI 16:0_20:5,-1.090495686,3.1193,TRUE,DOWN,PI 16:0_20:5,sig,0.4696,8.00E-04
PI 16:0_22:6,-0.548353672,2.0889,TRUE,DOWN,PI 16:0_22:6,sig,0.6838,0.0081
PI 16:1_18:2,-0.015520018,0.0125,FALSE,NO,NA,not,0.9893,0.9716
PI 16:1_20:4,-0.322108443,0.5083,FALSE,NO,NA,not,0.7999,0.3102
PI 17:0_18:2,-0.366243319,0.2226,FALSE,NO,NA,not,0.7758,0.599
PI 17:0_20:3,0.020768865,0.0368,FALSE,NO,NA,not,1.0145,0.9188
PI 17:0_20:4,-0.015665855,0.0909,FALSE,NO,NA,not,0.9892,0.8111
PI 17:0_20:5,1.253626278,0.6532,FALSE,NO,NA,not,2.3844,0.2222
PI 17:0_22:6,-0.112942706,0.7801,FALSE,NO,NA,not,0.9247,0.1659
PI 18:0_18:1,0.575699579,2.5843,TRUE,UP,PI 18:0_18:1,sig,1.4904,0.0026
PI 18:0_18:2,0.384270893,1.5731,TRUE,UP,PI 18:0_18:2,sig,1.3052,0.0267
PI 18:0_20:2,-0.197103705,0.3794,FALSE,NO,NA,not,0.8723,0.4174
PI 18:0_20:3,-0.342451452,0.8096,FALSE,NO,NA,not,0.7887,0.155
PI 18:0_20:3_2,-0.057391664,0.1386,FALSE,NO,NA,not,0.961,0.7268
PI 18:0_20:4,-0.074152452,0.2755,FALSE,NO,NA,not,0.9499,0.5303
PI 18:0_22:4,-0.436548966,0.7606,FALSE,NO,NA,not,0.7389,0.1735
PI 18:0_22:5,0.003026483,0.0083,FALSE,NO,NA,not,1.0021,0.9811
PI 18:0_22:5_2,-0.057992286,0.2134,FALSE,NO,NA,not,0.9606,0.6118
PI 18:0_22:6,0.204140717,1.7364,TRUE,UP,PI 18:0_22:6,sig,1.152,0.0183
PI 18:1_18:2,-0.076432432,0.217,FALSE,NO,NA,not,0.9484,0.6067
PI 18:1_20:3,-0.592266569,2.0995,TRUE,DOWN,PI 18:1_20:3,sig,0.6633,0.008
PI 18:1_20:4,-0.177555361,0.8407,FALSE,NO,NA,not,0.8842,0.1443
PI 18:1_20:4_2,0.13211616,0.653,FALSE,NO,NA,not,1.0959,0.2223
PI 18:1_22:5,-0.354759487,1.2867,TRUE,DOWN,PI 18:1_22:5,sig,0.782,0.0517
PI 18:1_22:6,-0.286304185,1.3058,TRUE,DOWN,PI 18:1_22:6,sig,0.82,0.0495
PI 18:2_18:2,-0.179678052,0.4138,FALSE,NO,NA,not,0.8829,0.3857
PI 18:2_18:3,-0.68896197,1.4138,TRUE,DOWN,PI 18:2_18:3,sig,0.6203,0.0386
PI 18:2_20:4,-0.018001258,0.0329,FALSE,NO,NA,not,0.9876,0.927
PI 19:0_18:2,0.183327706,0.2821,FALSE,NO,NA,not,1.1355,0.5223
PI 19:0_20:3,0.247806018,0.4468,FALSE,NO,NA,not,1.1874,0.3574
PI 19:0_20:4,-0.07126964,0.5886,FALSE,NO,NA,not,0.9518,0.2579
PI 19:1_20:4,-0.072786192,0.1278,FALSE,NO,NA,not,0.9508,0.7451
PI 20:0_20:3,-0.584673991,0.7422,FALSE,NO,NA,not,0.6668,0.1811
PI 20:0_20:4,-0.359379072,0.9262,TRUE,DOWN,PI 20:0_20:4,sig,0.7795,0.1185
PI 20:1_20:5,-0.092647816,0.1503,FALSE,NO,NA,not,0.9378,0.7075
PI 20:4_20:4,0.196984664,0.6385,FALSE,NO,NA,not,1.1463,0.2299
PI 38:2,0.065710164,0.1746,FALSE,NO,NA,not,1.0466,0.669
PI 38:6,-0.964094616,3.1837,TRUE,DOWN,PI 38:6,sig,0.5126,7.00E-04
PI 38:7,-0.306501891,0.5862,FALSE,NO,NA,not,0.8086,0.2593
PI 40:3,-0.351810697,0.3172,FALSE,NO,NA,not,0.7836,0.4817
PI 40:8,0.216361735,0.6456,FALSE,NO,NA,not,1.1618,0.2262
PS 16:0_18:2,0.312781328,0.4056,FALSE,NO,NA,not,1.2421,0.393
PS 16:0_20:4,-0.329703496,0.5395,FALSE,NO,NA,not,0.7957,0.2887
PS 16:0_20:4_2,0.014926544,0.0141,FALSE,NO,NA,not,1.0104,0.9681
PS 16:0_22:6,0.012783185,0.0135,FALSE,NO,NA,not,1.0089,0.9694
PS 17:0_20:4,-0.40908665,0.3935,FALSE,NO,NA,not,0.7531,0.4041
PS 18:0_18:1,-0.055591295,0.0666,FALSE,NO,NA,not,0.9622,0.8578
PS 18:0_18:2,-0.547509991,1.0752,TRUE,DOWN,PS 18:0_18:2,sig,0.6842,0.0841
PS 18:0_20:3,-0.065370276,0.0647,FALSE,NO,NA,not,0.9557,0.8616
PS 18:0_20:4,-0.107958761,0.1294,FALSE,NO,NA,not,0.9279,0.7423
PS 18:0_20:5,-0.084517342,0.1151,FALSE,NO,NA,not,0.9431,0.7672
PS 18:0_22:4,0.219214996,0.2257,FALSE,NO,NA,not,1.1641,0.5947
PS 18:0_22:5,0.011209361,0.0133,FALSE,NO,NA,not,1.0078,0.9698
PS 18:0_22:5_2,0.226261894,0.2847,FALSE,NO,NA,not,1.1698,0.5192
PS 18:0_22:6,0.038436182,0.0465,FALSE,NO,NA,not,1.027,0.8985
PS 18:1_20:4,0.285106251,0.2458,FALSE,NO,NA,not,1.2185,0.5678
PS 18:1_20:4_2,-0.009989098,0.0097,FALSE,NO,NA,not,0.9931,0.9779
PS 18:1_21:2,-0.269686114,0.3847,FALSE,NO,NA,not,0.8295,0.4124
PS 18:1_21:2_2,-0.172343542,0.2709,FALSE,NO,NA,not,0.8874,0.5359
PS 18:1_22:6,-0.267774223,0.5123,FALSE,NO,NA,not,0.8306,0.3074
PS 18:2_20:4,-0.263265256,0.3925,FALSE,NO,NA,not,0.8332,0.405
PS 18:2_22:6,-0.622598569,0.7497,FALSE,NO,NA,not,0.6495,0.178
PS 19:0_22:6,-0.625934282,0.9738,TRUE,DOWN,PS 19:0_22:6,sig,0.648,0.1062
PS 20:0_20:4,0.285934808,0.3981,FALSE,NO,NA,not,1.2192,0.3999
PS 20:0_22:6,-0.035638337,0.0379,FALSE,NO,NA,not,0.9756,0.9164
PS 20:3_20:4,0.320773477,0.511,FALSE,NO,NA,not,1.249,0.3083
PS 37:3,0.146915848,0.1936,FALSE,NO,NA,not,1.1072,0.6403
PS 40:5,0.056583528,0.0596,FALSE,NO,NA,not,1.04,0.8718
PS 40:6,-0.162783333,0.0773,FALSE,NO,NA,not,0.8933,0.837
SM d18:0_22:0,-0.015520018,0.0293,FALSE,NO,NA,not,0.9893,0.9348
SM d18:1_18:0,-0.434987819,1.379,TRUE,DOWN,SM d18:1_18:0,sig,0.7397,0.0418
SM d18:1_22:0,0.181675061,0.6387,FALSE,NO,NA,not,1.1342,0.2298
SM d18:1_24:1,0.106884289,0.2732,FALSE,NO,NA,not,1.0769,0.5331
SM d21:1_19:1,0.6296597,2.2055,TRUE,UP,SM d21:1_19:1,sig,1.5472,0.0062
SM d32:1,0.375623344,1.3144,TRUE,UP,SM d32:1,sig,1.2974,0.0485
SM d33:1,-0.407937702,0.9423,TRUE,DOWN,SM d33:1,sig,0.7537,0.1142
SM d34:0,-0.149760645,0.3355,FALSE,NO,NA,not,0.9014,0.4618
SM d34:1,0.044743821,0.3757,FALSE,NO,NA,not,1.0315,0.421
SM d34:2,0.264236151,0.6931,FALSE,NO,NA,not,1.201,0.2027
SM d36:1,0.194465332,1.7189,TRUE,UP,SM d36:1,sig,1.1443,0.0191
SM d38:1,-0.311506289,0.7129,FALSE,NO,NA,not,0.8058,0.1937
SM d39:1,-0.290356455,0.6689,FALSE,NO,NA,not,0.8177,0.2143
SM d40:0,0.056722242,0.1096,FALSE,NO,NA,not,1.0401,0.777
SM d40:1,-0.259806383,0.5009,FALSE,NO,NA,not,0.8352,0.3156
SM d40:2,-0.025470688,0.0499,FALSE,NO,NA,not,0.9825,0.8915
SM d41:0,-0.647241475,1.0599,TRUE,DOWN,SM d41:0,sig,0.6385,0.0871
SM d41:1,-0.292121867,0.6605,FALSE,NO,NA,not,0.8167,0.2185
SM d41:1_2,0.07299756,0.1967,FALSE,NO,NA,not,1.0519,0.6358
SM d41:2,-0.385714194,0.926,TRUE,DOWN,SM d41:2,sig,0.7654,0.1186
SM d42:0,-0.03209363,0.0981,FALSE,NO,NA,not,0.978,0.7978
SM d42:1,-0.27299445,0.6103,FALSE,NO,NA,not,0.8276,0.2453
SM d42:1_2,0.224534263,0.8992,TRUE,UP,SM d42:1_2,sig,1.1684,0.1261
SM d42:1_3,-0.486004021,0.9281,TRUE,DOWN,SM d42:1_3,sig,0.714,0.118
SM d42:2,-0.436158521,0.9659,TRUE,DOWN,SM d42:2,sig,0.7391,0.1082
SM d42:3,-0.067334052,0.1325,FALSE,NO,NA,not,0.9544,0.7371
SM d43:1,-0.08100323,0.2675,FALSE,NO,NA,not,0.9454,0.5401
SM d43:1_2,-0.220614194,0.2055,FALSE,NO,NA,not,0.8582,0.623
SM d44:1,0.266156864,0.6463,FALSE,NO,NA,not,1.2026,0.2258
TG 12:0_14:0_22:4,3.496053234,2.362,TRUE,UP,TG 12:0_14:0_22:4,sig,11.2828,0.0043
TG 12:0_16:0_18:2,3.405202744,2.922,TRUE,UP,TG 12:0_16:0_18:2,sig,10.5942,0.0012
TG 12:0_16:1_18:2,3.010278567,3.2768,TRUE,UP,TG 12:0_16:1_18:2,sig,8.0572,5.00E-04
TG 12:0_18:2_18:2,2.875268936,3.0345,TRUE,UP,TG 12:0_18:2_18:2,sig,7.3374,9.00E-04
TG 12:0_18:2_18:3,2.93632699,3.0531,TRUE,UP,TG 12:0_18:2_18:3,sig,7.6546,9.00E-04
TG 14:0_16:0_18:1,2.491519635,3.5253,TRUE,UP,TG 14:0_16:0_18:1,sig,5.6237,3.00E-04
TG 14:0_16:0_18:2,2.918176303,3.1206,TRUE,UP,TG 14:0_16:0_18:2,sig,7.5589,8.00E-04
TG 15:0_16:0_18:1,1.560959458,2.763,TRUE,UP,TG 15:0_16:0_18:1,sig,2.9505,0.0017
TG 15:0_18:1_18:2,1.200504353,2.0614,TRUE,UP,TG 15:0_18:1_18:2,sig,2.2982,0.0087
TG 15:0_18:2_18:2,1.02672925,2.0452,TRUE,UP,TG 15:0_18:2_18:2,sig,2.0374,0.009
TG 16:0_16:0_16:0,1.534111418,3.0152,TRUE,UP,TG 16:0_16:0_16:0,sig,2.8961,0.001
TG 16:0_16:0_18:0,1.162016633,2.7194,TRUE,UP,TG 16:0_16:0_18:0,sig,2.2377,0.0019
TG 16:0_16:0_18:1,1.55924706,3.4179,TRUE,UP,TG 16:0_16:0_18:1,sig,2.947,4.00E-04
TG 16:0_16:0_18:2,1.857861595,3.3833,TRUE,UP,TG 16:0_16:0_18:2,sig,3.6247,4.00E-04
TG 16:0_16:0_22:6,1.426747809,2.5822,TRUE,UP,TG 16:0_16:0_22:6,sig,2.6884,0.0026
TG 16:0_16:1_18:2,1.835439053,5.1485,TRUE,UP,TG 16:0_16:1_18:2,sig,3.5688,0
TG 16:0_16:1_20:5,1.758516389,2.3823,TRUE,UP,TG 16:0_16:1_20:5,sig,3.3835,0.0041
TG 16:0_16:1_22:6,1.766213502,4.2949,TRUE,UP,TG 16:0_16:1_22:6,sig,3.4016,1.00E-04
TG 16:0_16:2_18:2,2.049804996,3.7565,TRUE,UP,TG 16:0_16:2_18:2,sig,4.1405,2.00E-04
TG 16:0_16:3_18:2,2.48362233,3.3711,TRUE,UP,TG 16:0_16:3_18:2,sig,5.593,4.00E-04
TG 16:0_17:0_18:0,0.85814018,1.5705,TRUE,UP,TG 16:0_17:0_18:0,sig,1.8127,0.0269
TG 16:0_17:1_18:1,1.499935156,2.8619,TRUE,UP,TG 16:0_17:1_18:1,sig,2.8283,0.0014
TG 16:0_18:0_18:0,1.677260161,1.5728,TRUE,UP,TG 16:0_18:0_18:0,sig,3.1982,0.0267
TG 16:0_18:0_18:1,1.263274835,2.261,TRUE,UP,TG 16:0_18:0_18:1,sig,2.4004,0.0055
TG 16:0_18:0_20:4,1.119820952,1.5251,TRUE,UP,TG 16:0_18:0_20:4,sig,2.1732,0.0298
TG 16:0_18:0_22:6,1.688180359,NA,TRUE,UP,TG 16:0_18:0_22:6,sig,3.2225,0
TG 16:0_18:1_18:1,0.949572284,3.3429,TRUE,UP,TG 16:0_18:1_18:1,sig,1.9313,5.00E-04
TG 16:0_18:1_18:2,1.001658146,3.0356,TRUE,UP,TG 16:0_18:1_18:2,sig,2.0023,9.00E-04
TG 16:0_18:1_20:0,0.85806059,0.6447,FALSE,NO,NA,not,1.8126,0.2266
TG 16:0_18:1_20:0_2,1.025808419,1.7914,TRUE,UP,TG 16:0_18:1_20:0_2,sig,2.0361,0.0162
TG 16:0_18:1_20:4,1.010421805,3.4539,TRUE,UP,TG 16:0_18:1_20:4,sig,2.0145,4.00E-04
TG 16:0_18:1_22:6,1.105678078,2.924,TRUE,UP,TG 16:0_18:1_22:6,sig,2.152,0.0012
TG 16:0_18:2_18:2,0.982728961,3.2909,TRUE,UP,TG 16:0_18:2_18:2,sig,1.9762,5.00E-04
TG 16:0_18:2_18:3,1.364908555,4.105,TRUE,UP,TG 16:0_18:2_18:3,sig,2.5756,1.00E-04
TG 16:0_18:2_18:4,1.333480982,4.2578,TRUE,UP,TG 16:0_18:2_18:4,sig,2.5201,1.00E-04
TG 16:0_18:2_20:4,1.591583681,4.7551,TRUE,UP,TG 16:0_18:2_20:4,sig,3.0138,0
TG 16:0_18:2_20:5,1.071694033,3.8502,TRUE,UP,TG 16:0_18:2_20:5,sig,2.1019,1.00E-04
TG 16:0_18:2_22:5,1.249991368,3.6553,TRUE,UP,TG 16:0_18:2_22:5,sig,2.3784,2.00E-04
TG 16:0_18:2_22:6,0.853277114,2.6891,TRUE,UP,TG 16:0_18:2_22:6,sig,1.8066,0.002
TG 16:0_18:3_22:6,1.545029324,2.3401,TRUE,UP,TG 16:0_18:3_22:6,sig,2.9181,0.0046
TG 16:0_20:4_22:6,1.51898827,1.9379,TRUE,UP,TG 16:0_20:4_22:6,sig,2.8659,0.0115
TG 16:0_20:5_22:6,1.813811968,3.4337,TRUE,UP,TG 16:0_20:5_22:6,sig,3.5157,4.00E-04
TG 16:0_22:5_22:7,1.354847056,3.1075,TRUE,UP,TG 16:0_22:5_22:7,sig,2.5577,8.00E-04
TG 16:0_22:6_22:6,1.221444053,2.4277,TRUE,UP,TG 16:0_22:6_22:6,sig,2.3318,0.0037
TG 16:1_16:2_18:2,2.615063114,4.0302,TRUE,UP,TG 16:1_16:2_18:2,sig,6.1265,1.00E-04
TG 16:1_18:2_18:2,1.81954557,4.9212,TRUE,UP,TG 16:1_18:2_18:2,sig,3.5297,0
TG 16:1_18:2_18:3,2.089362553,3.6741,TRUE,UP,TG 16:1_18:2_18:3,sig,4.2556,2.00E-04
TG 16:1_18:2_20:5,1.874010006,4.6617,TRUE,UP,TG 16:1_18:2_20:5,sig,3.6655,0
TG 16:1_18:2_22:6,1.641222311,4.0457,TRUE,UP,TG 16:1_18:2_22:6,sig,3.1193,1.00E-04
