RT,mz,Theo mz,Abundance,Lipid Class,Compound Name
4.62,465.3047,NA,214224,NA,NA
9.573,768.5548,768.5549,211791,Phosphatidylethanolamine,PE 18:0_20:3
6.687,881.5187,881.5186,210386,Phosphatidylinositol,PI 38:6
9.321,780.5549,780.5549,208127,Phosphatidylethanolamine,PE 19:0_20:4
1.769,588.3308,588.3307,207915,Lysophophatidylcholine,LPC 20:4/0:0
11.482,856.6886,856.6883,206737,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d42:1
3.917,279.2332,279.233,203811,Free fatty acid,FA 18:2
8.416,752.5237,752.5236,203126,Phosphatidylethanolamine,PE 17:0_20:4
10.152,778.5757,NA,199934,NA,NA
7.143,808.5134,808.5134,199315,Phosphatidylserine,PS 18:1_20:4
9.363,700.5287,700.5287,192724,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_18:1
9.359,768.555,NA,190229,NA,NA
9.358,1480.8891,NA,189901,NA,NA
1.996,564.3308,564.3307,188780,Lysophophatidylcholine,LPC 18:2/0:0
7.423,924.5627,NA,185920,NA,NA
7.012,736.4922,736.4923,184544,Phosphatidylethanolamine,PE 16:1_20:4
7.359,859.5346,859.5342,184332,Phosphatidylinositol,PI 16:0_20:3
8.156,797.6044,797.6043,182011,Phosphatidylcholine,PC 15:0_18:1(d7)
8.581,582.5105,NA,177950,NA,NA
2.773,573.3904,573.3903,177215,Lysophophatidylcholine,LPC 18:1/0:0(d7)
1.828,500.2784,500.2783,176786,Lysophosphatidylethanolamine,LPE 20:4
9.748,794.5707,794.5705,175838,Phosphatidylethanolamine,PE 20:0_20:4
0.574,498.2897,NA,175135,NA,NA
0.578,277.0739,NA,174493,NA,NA
13.076,1473.9798,1473.9806,169731,Cardiolipin,CL 74:9
9.526,794.5705,794.5705,168596,Phosphatidylethanolamine,PE 18:0_22:4
11.486,924.6759,NA,168494,NA,NA
2.555,566.3464,566.3463,168328,Lysophophatidylcholine,LPC 18:1/0:0
6.805,832.5132,832.5134,167672,Phosphatidylserine,PS 18:1_22:6
9.164,780.5551,780.5549,165084,Phosphatidylethanolamine,PE 19:0_20:4
8.82,792.555,792.5549,164892,Phosphatidylethanolamine,PE 20:1_20:4
7.145,779.4865,NA,163560,NA,NA
2.907,478.294,478.2939,162660,Lysophosphatidylethanolamine,LPE 18:1
8.703,838.5602,838.5604,161700,Phosphatidylserine,PS 18:0_22:4
10.238,1482.9049,NA,161104,NA,NA
1.666,612.3308,612.3307,159645,Lysophophatidylcholine,LPC 22:6/0:0
7.395,808.5137,808.5134,159564,Phosphatidylserine,PS 18:0_20:5
4.393,255.2331,255.233,158881,Free fatty acid,FA 16:0
7.713,776.5452,776.5447,157630,Phosphatidylcholine,PC 16:0_16:1
9.599,678.529,NA,156301,NA,NA
1.101,265.1481,NA,155760,NA,NA
10.534,732.576,NA,152783,NA,NA
11.129,859.6911,859.691,152731,Sphingomyelin,SM d42:1
8.668,928.5918,NA,152477,NA,NA
9.637,803.6284,803.6284,148020,Sphingomyelin,SM d38:1
14.363,1403.9964,1403.9962,145732,Cardiolipin,CL 68:2
12.054,684.6066,NA,144989,NA,NA
10.903,652.5886,NA,141256,NA,NA
10.072,817.6442,817.644,140936,Sphingomyelin,SM d39:1
12.954,723.4794,NA,139805,NA,NA
7.633,747.5662,747.5658,139508,Sphingomyelin,SM d34:1
2.579,1035.6631,NA,139221,NA,NA
13.769,1425.9803,1425.9806,139114,Cardiolipin,CL 70:5
9.884,868.6128,NA,137300,NA,NA
5.931,604.4617,NA,136318,NA,NA
9.534,806.5916,806.5917,135858,Phosphatidylcholine,PC 16:0_18:0
9.98,843.6595,843.6597,135621,Sphingomyelin,SM d41:2
10.499,706.5604,NA,133857,NA,NA
1.722,524.2783,524.2783,131214,Lysophosphatidylethanolamine,LPE 22:6
11.505,694.6354,694.6355,131177,Ceramide non-hydroxyfatty acid-dihydrosphingosine,Cer_NDS d18:0_24:1
2.327,540.3307,540.3307,130655,Lysophophatidylcholine,LPC 16:0/0:0
