"","Lipid","sig_FDR","diffexpressed","FC","p_val","log_p","delabel","label","log_FC","q_val","my_color"
"883","7.901_751.6002",FALSE,"NO",1.042198862,0.199969607,0.699036006912129,NA,NA,0.0596305845723194,0.309238140764659,"no"
"884","10.237_876.6312",FALSE,"NO",1.24994243,0.20001187,0.698944229723372,NA,NA,0.321861648594422,0.309238140764659,"no"
"885","8.155_782.4908",FALSE,"NO",1.138490138,0.200525171,0.697831104638428,NA,NA,0.187121794399334,0.309238140764659,"no"
"886","7.292_700.4466",FALSE,"NO",1.352879204,0.200555138,0.697766207397295,NA,NA,0.436033029580433,0.309238140764659,"no"
"887","6.832_822.0564",FALSE,"NO",0.582865441,0.200637403,0.697588102211364,NA,NA,-0.778765230343602,0.309238140764659,"no"
"888","7.444_782.9564",FALSE,"NO",1.37605e-07,0.200647061,0.697567197259972,NA,NA,-22.7929637716123,0.309238140764659,"no"
"889","8.115_1156.7934",FALSE,"NO",1.357963515,0.200894183,0.697032638301905,NA,NA,0.441444718584362,0.309373860597783,"no"
"890","8.612_768.2045",FALSE,"NO",2.573838068,0.201734287,0.695220282305764,NA,NA,1.36392128982815,0.309946147798742,"no"
"891","8.087_1053.5219",FALSE,"NO",1.134547039,0.20185613,0.694958057327483,NA,NA,0.182116425251053,0.309946147798742,"no"
"892","8.8_781.4997",FALSE,"NO",1.268027603,0.20213096,0.694367161361603,NA,NA,0.342586151059159,0.309946147798742,"no"
"893","7.261_834.6047",FALSE,"NO",3.81542e-07,0.202236857,0.694139692795273,NA,NA,-21.3216547870821,0.309946147798742,"no"
"894","7.984_819.6106",FALSE,"NO",1.1671128,0.202693528,0.693160118099098,NA,NA,0.222944002464492,0.309946147798742,"no"
"895","7.163_825.8727",FALSE,"NO",1.173450316,0.202698487,0.693149492994231,NA,NA,0.230756759306473,0.309946147798742,"no"
"896","8.542_1001.5124",FALSE,"NO",1.307098008,0.203259604,0.69194892486962,NA,NA,0.386367320440473,0.310260447537255,"no"
"897","7.155_1230.9006",FALSE,"NO",1.051023026,0.203360282,0.691733864552857,NA,NA,0.0717942764667131,0.310260447537255,"no"
"898","5.19_910.4733",FALSE,"NO",0.752978608,0.203384098,0.691683006284611,NA,NA,-0.409319216139833,0.310260447537255,"no"
"899","9.979_268.2191",FALSE,"NO",0.78920051,0.203586612,0.691250784909429,NA,NA,-0.341536206521997,0.310325987727273,"no"
"900","9.31_788.1827",FALSE,"NO",6.67344e-07,0.203892059,0.690599688393704,NA,NA,-20.5150660359951,0.310548202627251,"no"
"901","8.384_810.4307",FALSE,"NO",1.20469e-07,0.204260945,0.689814663188439,NA,NA,-22.9848347152673,0.310866618172926,"no"
"902","7.544_766.105",FALSE,"NO",1.65524e-06,0.204537299,0.689227483388642,NA,NA,-19.2045281548858,0.311043820605942,"no"
"903","8.939_659.5488",FALSE,"NO",1.153554478,0.205037243,0.688167246454794,NA,NA,0.206086138641211,0.31145055578064,"no"
"904","7.881_809.5937",FALSE,"NO",0.747120029,0.205125019,0.687981365711697,NA,NA,-0.420588056247232,0.31145055578064,"no"
"905","8.018_809.4937",FALSE,"NO",4.983834823,0.205954003,0.686229762513507,NA,NA,2.31725625456022,0.312148167868789,"no"
"906","7.558_287.2826",FALSE,"NO",1.038885804,0.206106981,0.685907298087683,NA,NA,0.0550370795959742,0.312148167868789,"no"
"907","8.401_1254.8477",FALSE,"NO",0.933940043,0.206458927,0.685166334087309,NA,NA,-0.0985981599878171,0.312148167868789,"no"
"908","8.427_730.5993",FALSE,"NO",1.049165323,0.206612486,0.684843436751304,NA,NA,0.0692420295639033,0.312148167868789,"no"
"909","7.425_764.2313",FALSE,"NO",0.401956121,0.206707887,0.684642952423357,NA,NA,-1.31489007475386,0.312148167868789,"no"
"910","7.497_948.5096",FALSE,"NO",1.042677216,0.207734377,0.682491628135053,NA,NA,0.0602926085295047,0.313454897800621,"no"
"911","9.924_611.5494",FALSE,"NO",1.392928335,0.20838432,0.681134962885331,NA,NA,0.478121034393047,0.314191862325581,"no"
"912","9.274_962.5555",FALSE,"NO",1.07461e-06,0.20890397,0.680053306631897,NA,NA,-19.8277554008145,0.314372979880309,"no"
"913","8.467_287.2826",FALSE,"NO",1.123882389,0.209073431,0.679701153711408,NA,NA,0.168491069647598,0.314372979880309,"no"
"914","7.157_806.0158",FALSE,"NO",1.213534996,0.209204958,0.679428027230547,NA,NA,0.279215713621018,0.314372979880309,"no"
"915","8.433_616.5069",FALSE,"NO",1.563623686,0.209312601,0.679204625555081,NA,NA,0.644893344060587,0.314372979880309,"no"
"916","5.831_402.307",FALSE,"NO",0.894288963,0.210181815,0.677404861984261,NA,NA,-0.161187023962277,0.31497519275518,"no"
"917","8.084_1301.8535",FALSE,"NO",2.312742146,0.210596932,0.676547959955736,NA,NA,1.20960442489143,0.31497519275518,"no"
"918","7.848_777.5314",FALSE,"NO",1.474370288,0.210642455,0.676454092248267,NA,NA,0.560098902704317,0.31497519275518,"no"
"919","8.083_1042.5114",FALSE,"NO",1.091368652,0.210779826,0.676170958336861,NA,NA,0.126138510071447,0.31497519275518,"no"
"920","8.79_811.0528",FALSE,"NO",1.30708174,0.210934045,0.675853318969052,NA,NA,0.386349364702775,0.31497519275518,"no"
"921","7.45_887.5109",FALSE,"NO",2.174858229,0.211009088,0.675698839568392,NA,NA,1.12092136004879,0.31497519275518,"no"
"922","8.32_426.81",FALSE,"NO",1.376588909,0.213098788,0.671419020329951,NA,NA,0.461097791503467,0.317635477390805,"no"
"923","10.986_1481.0736",FALSE,"NO",8.47175e-07,0.213117891,0.671380090236868,NA,NA,-20.1708366479552,0.317635477390805,"no"
"924","8.595_799.0529",FALSE,"NO",0.94569608,0.213467401,0.670668437485676,NA,NA,-0.0805514782616257,0.317779533201989,"no"
"925","9.896_609.6067",FALSE,"NO",1.110809681,0.213541311,0.670518095328357,NA,NA,0.151611655792829,0.317779533201989,"no"
"926","10.086_642.5766",FALSE,"NO",0.34363636,0.214305185,0.668967321306992,NA,NA,-1.54104539945756,0.318113268269817,"no"
"927","8.4_760.2979",FALSE,"NO",1.13688e-07,0.214453733,0.668666389587228,NA,NA,-23.0684166813458,0.318113268269817,"no"
"928","7.157_806.3446",FALSE,"NO",3.523719504,0.21453109,0.668509760649328,NA,NA,1.81709908705796,0.318113268269817,"no"
"929","7.659_912.5716",FALSE,"NO",1.165564974,0.214583346,0.668403987034392,NA,NA,0.221029429224267,0.318113268269817,"no"
"930","7.451_801.0371",FALSE,"NO",0.779726962,0.215205336,0.667146964573374,NA,NA,-0.358959072872236,0.318741974334094,"no"
"931","10.731_618.5199",FALSE,"NO",1.023666205,0.215335195,0.66688498204316,NA,NA,0.0337453609468866,0.318741974334094,"no"
"932","8.788_812.4117",FALSE,"NO",1.344061583,0.215995186,0.665555928094133,NA,NA,0.426599241876558,0.319475769406844,"no"
"933","8.068_843.5756",FALSE,"NO",1.425105879,0.216277493,0.664988673230759,NA,NA,0.511069109055436,0.319650246113222,"no"
"934","8.311_988.4747",FALSE,"NO",0.929037415,0.216986299,0.663567687610223,NA,NA,-0.106191395644335,0.320258100979653,"no"
"935","7.43_785.4986",FALSE,"NO",4.76928e-07,0.217158083,0.663224000808016,NA,NA,-20.9997251797067,0.320258100979653,"no"
"936","7.583_1051.4945",FALSE,"NO",0.843601604,0.217605822,0.662329489356904,NA,NA,-0.245366256653997,0.320258100979653,"no"
"937","8.379_810.094",FALSE,"NO",0.843780738,0.217880179,0.661782276603053,NA,NA,-0.245059941092914,0.320258100979653,"no"
"938","7.034_821.5237",FALSE,"NO",1.11320584,0.218030533,0.661482683528949,NA,NA,0.154720382338517,0.320258100979653,"no"
"939","7.148_912.5211",FALSE,"NO",0.483306158,0.218038676,0.661466463810181,NA,NA,-1.04899071804131,0.320258100979653,"no"
"940","8.691_523.5704",FALSE,"NO",1.58957e-06,0.21826983,0.66100628980632,NA,NA,-19.2629320193917,0.320258100979653,"no"
"941","8.276_664.4535",FALSE,"NO",0.29105058,0.21832994,0.66088670457854,NA,NA,-1.78065820232373,0.320258100979653,"no"
"942","6.741_831.5779",FALSE,"NO",1.145597571,0.218415271,0.660717000220148,NA,NA,0.196100338785015,0.320258100979653,"no"
"943","7.642_759.2828",FALSE,"NO",6.764442918,0.218425732,0.660696200182858,NA,NA,2.75797112673219,0.320258100979653,"no"
"944","7.491_1065.4662",FALSE,"NO",1.83781e-06,0.218930708,0.65969331847041,NA,NA,-19.0535809464549,0.320647761340361,"no"
"945","8.798_861.6254",FALSE,"NO",0.564124193,0.220000002,0.657577315229662,NA,NA,-0.825915285275402,0.321235975296324,"no"
"946","8.54_1069.4965",FALSE,"NO",2.126727285,0.220125473,0.657329697822762,NA,NA,1.08863504514478,0.321235975296324,"no"
